Ticker,Ticker_name,Exposure,Date,day_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-03-03,-0.0031
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-03-03,-0.002
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-03-03,-0.0011
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-03-03,-0.0005
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-03-03,-0.0001
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-03-03,0.0
TIP,ISHARES:TIPS BD ETF,Bonds,2026-03-03,-0.0006
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-03-03,-0.002
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-03-03,-0.0146
CMCSA,COMCAST ,Communication Services,2026-03-03,0.0062
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-03-03,-0.0099
EA,ELECTRONIC ARTS INC.,Communication Services,2026-03-03,0.0008
FOXA,FOX ,Communication Services,2026-03-03,0.01
GOOGL,ALPHABET INC.,Communication Services,2026-03-03,-0.0096
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-03-03,0.0016
META,"META PLATFORMS, INC.",Communication Services,2026-03-03,0.0023
MTCH,"MATCH GROUP, INC.",Communication Services,2026-03-03,-0.0157
NFLX,"NETFLIX, INC.",Communication Services,2026-03-03,0.0063
NWSA,NEWS CORP.,Communication Services,2026-03-03,-0.0067
OMC,OMNICOM GROUP INC.,Communication Services,2026-03-03,-0.0087
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-03-03,-0.0667
T,AT&T INC.,Communication Services,2026-03-03,0.0236
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-03-03,-0.0223
TMUS,"T-MOBILE US, INC.",Communication Services,2026-03-03,0.0112
TTD,"THE TRADE DESK, INC.",Communication Services,2026-03-03,0.028
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-03-03,0.0148
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-03-03,0.0178
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-03-03,-0.0105
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-03-03,-0.0017
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-03-03,0.0016
APTV,APTIV PLC,Consumer Discretionary,2026-03-03,-0.0148
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-03-03,-0.0632
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-03-03,0.0708
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-03-03,-0.0062
CCL,CARNIVAL CORP,Consumer Discretionary,2026-03-03,-0.0209
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-03-03,0.0065
CVNA,CARVANA CO.,Consumer Discretionary,2026-03-03,-0.0128
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-03-03,-0.0054
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-03-03,-0.0406
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-03-03,-0.0116
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-03-03,0.0175
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-03-03,0.0035
EBAY,EBAY INC.,Consumer Discretionary,2026-03-03,0.0096
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-03-03,0.0089
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-03-03,-0.0515
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-03-03,-0.0063
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-03-03,-0.018
