Ticker,Ticker_name,Exposure,Date,mtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-02-12,0.0423
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-02-12,-0.0041
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-02-12,0.0093
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-02-12,0.0059
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-02-12,-0.0007
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-02-12,0.0004
TIP,ISHARES:TIPS BD ETF,Bonds,2026-02-12,0.007
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-02-12,0.0241
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-02-12,0.1551
CMCSA,COMCAST ,Communication Services,2026-02-12,0.0696
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-02-12,-0.0924
EA,ELECTRONIC ARTS INC.,Communication Services,2026-02-12,-0.017
FOXA,FOX ,Communication Services,2026-02-12,-0.2246
GOOGL,ALPHABET INC.,Communication Services,2026-02-12,-0.0858
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-02-12,0.0648
META,"META PLATFORMS, INC.",Communication Services,2026-02-12,-0.0931
MTCH,"MATCH GROUP, INC.",Communication Services,2026-02-12,-0.0395
NFLX,"NETFLIX, INC.",Communication Services,2026-02-12,-0.0914
NWSA,NEWS CORP.,Communication Services,2026-02-12,-0.1713
OMC,OMNICOM GROUP INC.,Communication Services,2026-02-12,-0.1268
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-02-12,-0.0856
T,AT&T INC.,Communication Services,2026-02-12,0.0988
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-02-12,-0.0128
TMUS,"T-MOBILE US, INC.",Communication Services,2026-02-12,0.0886
TTD,"THE TRADE DESK, INC.",Communication Services,2026-02-12,-0.1381
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-02-12,-0.1359
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-02-12,0.111
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-02-12,0.0207
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-02-12,-0.1037
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-02-12,-0.1659
APTV,APTIV PLC,Consumer Discretionary,2026-02-12,0.0957
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-02-12,0.0228
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-02-12,-0.0035
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-02-12,-0.1685
CCL,CARNIVAL CORP,Consumer Discretionary,2026-02-12,0.0859
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-02-12,-0.078
CVNA,CARVANA CO.,Consumer Discretionary,2026-02-12,-0.142
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-02-12,-0.2125
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-02-12,-0.0278
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-02-12,0.1058
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-02-12,-0.0696
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-02-12,0.0678
EBAY,EBAY INC.,Consumer Discretionary,2026-02-12,-0.1295
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-02-12,-0.142
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-02-12,0.0086
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-02-12,-0.0485
