Ticker,Ticker_name,Exposure,Date,qtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-02-11,0.0183
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-02-11,0.0025
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-02-11,0.0008
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-02-11,0.0046
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-02-11,0.0004
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-02-11,0.0047
TIP,ISHARES:TIPS BD ETF,Bonds,2026-02-11,0.0082
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-02-11,0.0103
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-02-11,0.1548
CMCSA,COMCAST ,Communication Services,2026-02-11,0.0867
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-02-11,-0.0497
EA,ELECTRONIC ARTS INC.,Communication Services,2026-02-11,-0.0102
FOXA,FOX ,Communication Services,2026-02-11,-0.1637
GOOGL,ALPHABET INC.,Communication Services,2026-02-11,-0.0065
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-02-11,0.0604
META,"META PLATFORMS, INC.",Communication Services,2026-02-11,0.013
MTCH,"MATCH GROUP, INC.",Communication Services,2026-02-11,-0.0276
NFLX,"NETFLIX, INC.",Communication Services,2026-02-11,-0.1508
NWSA,NEWS CORP.,Communication Services,2026-02-11,-0.111
OMC,OMNICOM GROUP INC.,Communication Services,2026-02-11,-0.1415
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-02-11,-0.1784
T,AT&T INC.,Communication Services,2026-02-11,0.1461
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-02-11,0.0066
TMUS,"T-MOBILE US, INC.",Communication Services,2026-02-11,0.032
TTD,"THE TRADE DESK, INC.",Communication Services,2026-02-11,-0.2827
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-02-11,-0.2036
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-02-11,0.2023
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-02-11,-0.0288
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-02-11,-0.1191
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-02-11,-0.1158
APTV,APTIV PLC,Consumer Discretionary,2026-02-11,0.1008
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-02-11,0.1015
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-02-11,0.0022
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-02-11,-0.1947
CCL,CARNIVAL CORP,Consumer Discretionary,2026-02-11,0.0835
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-02-11,0.0059
CVNA,CARVANA CO.,Consumer Discretionary,2026-02-11,-0.1373
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-02-11,-0.2252
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-02-11,0.1128
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-02-11,0.1376
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-02-11,-0.0787
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-02-11,0.1563
EBAY,EBAY INC.,Consumer Discretionary,2026-02-11,-0.0485
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-02-11,-0.1755
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-02-11,0.0556
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-02-11,-0.0184
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-02-11,0.2139
GRMN,GARMIN LTD,Consumer Discretionary,2026-02-11,0.0184
HAS,"HASBRO, INC.",Consumer Discretionary,2026-02-11,0.292
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2026-02-11,0.1354
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2026-02-11,0.1319
LEN,LENNAR ,Consumer Discretionary,2026-02-11,0.1769
LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,2026-02-11,0.1902
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2026-02-11,-0.1537
LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,2026-02-11,-0.1134
MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,2026-02-11,0.1564
MCD,MCDONALD'S ,Consumer Discretionary,2026-02-11,0.0575
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2026-02-11,-0.0036
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2026-02-11,0.0282
NKE,"NIKE, INC.",Consumer Discretionary,2026-02-11,-0.0213
NVR,"NVR, INC.",Consumer Discretionary,2026-02-11,0.1103
