Ticker,Ticker_name,Exposure,Date,wtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-02-20,-0.0044
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-02-20,0.0019
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-02-20,-0.0012
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-02-20,0.0
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-02-20,-0.0008
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-02-20,-0.0005
TIP,ISHARES:TIPS BD ETF,Bonds,2026-02-20,-0.0018
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-02-20,-0.0035
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-02-20,-0.0373
CMCSA,COMCAST ,Communication Services,2026-02-20,-0.0073
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-02-20,0.0012
EA,ELECTRONIC ARTS INC.,Communication Services,2026-02-20,-0.0011
FOXA,FOX ,Communication Services,2026-02-20,0.0119
GOOGL,ALPHABET INC.,Communication Services,2026-02-20,0.0303
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-02-20,0.0278
META,"META PLATFORMS, INC.",Communication Services,2026-02-20,0.0248
MTCH,"MATCH GROUP, INC.",Communication Services,2026-02-20,0.0436
NFLX,"NETFLIX, INC.",Communication Services,2026-02-20,0.0234
NWSA,NEWS CORP.,Communication Services,2026-02-20,0.0409
OMC,OMNICOM GROUP INC.,Communication Services,2026-02-20,0.2067
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-02-20,0.0378
T,AT&T INC.,Communication Services,2026-02-20,-0.0247
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-02-20,0.0211
TMUS,"T-MOBILE US, INC.",Communication Services,2026-02-20,-0.0184
TTD,"THE TRADE DESK, INC.",Communication Services,2026-02-20,-0.0275
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-02-20,0.0312
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-02-20,0.0049
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-02-20,0.0272
