Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-04-10,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-5.0
2026-04-10,AAPL,APPLE INC.,Information Technology,Information Technology,38.0
2026-04-10,ABBV,ABBVIE INC.,Health Care,Health Care,47.0
2026-04-10,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-13.0
2026-04-10,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-41.0
2026-04-10,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,20.0
2026-04-10,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,17.0
2026-04-10,ADBE,ADOBE INC.,Information Technology,Information Technology,-31.0
2026-04-10,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-3.0
2026-04-10,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,53.0
2026-04-10,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,17.0
2026-04-10,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,20.0
2026-04-10,AEE,AMEREN ,Utilities,Utilities,45.0
2026-04-10,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,63.0
2026-04-10,AES,THE AES ,Utilities,Utilities,-8.0
2026-04-10,AFL,AFLAC INC.,Financials,Financials,-5.0
2026-04-10,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,21.0
2026-04-10,AIZ,"ASSURANT, INC.",Financials,Financials,-5.0
2026-04-10,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-56.0
2026-04-10,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-14.0
2026-04-10,ALB,ALBEMARLE ,Materials,Materials,34.0
2026-04-10,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-15.0
2026-04-10,ALL,THE ALLSTATE ,Financials,Financials,-7.0
2026-04-10,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,-5.0
2026-04-10,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-5.0
2026-04-10,AMCR,AMCOR PLC,Materials,Materials,7.0
2026-04-10,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-23.0
2026-04-10,AME,"AMETEK, INC.",Industrials,Industrials,-20.0
2026-04-10,AMGN,AMGEN INC.,Health Care,Health Care,46.0
2026-04-10,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-14.0
2026-04-10,AMT,AMERICAN TOWER ,Real Estate,Real Estate,23.0
2026-04-10,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-20.0
2026-04-10,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-36.0
2026-04-10,AON,AON PLC,Financials,Financials,35.0
2026-04-10,AOS,A. O. SMITH ,Industrials,Industrials,3.0
2026-04-10,APA,APA ,Energy,Energy,15.0
2026-04-10,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-9.0
2026-04-10,APH,AMPHENOL ,Information Technology,Information Technology,20.0
2026-04-10,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,-35.0
2026-04-10,APP,APPLOVIN CORP,Information Technology,Information Technology,25.0
2026-04-10,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,33.0
2026-04-10,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,0.0
2026-04-10,ARES,ARES MANAGEMENT CORP,Financials,Financials,-26.0
2026-04-10,ASC,ARDMORE SHIPPING ,,MR Discretion,-11.0
2026-04-10,ATO,ATMOS ENERGY ,Utilities,Utilities,63.0
2026-04-10,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,15.0
2026-04-10,AVGO,BROADCOM INC.,Information Technology,Information Technology,-27.0
2026-04-10,AVY,AVERY DENNISON ,Materials,Materials,-32.0
2026-04-10,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,53.0
2026-04-10,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,-19.0
2026-04-10,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-10.0
2026-04-10,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,40.0
2026-04-10,BA,THE BOEING COMPANY,Industrials,Industrials,-37.0
2026-04-10,BAC,BANK OF AMERICA ,Financials,Financials,-23.0
2026-04-10,BALL,BALL ,Materials,Materials,-37.0
2026-04-10,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-20.0
2026-04-10,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-47.0
2026-04-10,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,20.0
2026-04-10,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,-38.0
2026-04-10,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-17.0
2026-04-10,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,44.0
2026-04-10,BIIB,BIOGEN INC.,Health Care,Health Care,28.0
2026-04-10,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,-24.0
2026-04-10,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-21.0
2026-04-10,BKR,BAKER HUGHES COMPANY,Energy,Energy,-36.0
2026-04-10,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-29.0
2026-04-10,BLK,"BLACKROCK, INC.",Financials,Financials,-31.0
2026-04-10,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,60.0
2026-04-10,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,-41.0
2026-04-10,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,5.0
2026-04-10,BRO,"BROWN & BROWN, INC.",Financials,Financials,-14.0
2026-04-10,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,-9.0
2026-04-10,BTC=F,BITCOIN FUTURES,,Futures,-27.0
2026-04-10,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,39.0
2026-04-10,BTU,PEABODY ENERGY ,,MR Discretion,-32.0
2026-04-10,BX,BLACKSTONE INC,Financials,Financials,-40.0
2026-04-10,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-19.0
2026-04-10,C,CITIGROUP INC.,Financials,Financials,-17.0
2026-04-10,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,62.0
2026-04-10,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,64.0
2026-04-10,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,69.0
2026-04-10,CANE,TEUCRIUM:SUGAR,,Commodities,31.0
2026-04-10,CARR,CARRIER GLOBAL ,Industrials,Industrials,-36.0
2026-04-10,CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,Consumer Staples,18.0
2026-04-10,CAT,CATERPILLAR INC.,Industrials,Industrials,42.0
2026-04-10,CB,CHUBB LTD,Financials,Financials,55.0
2026-04-10,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,29.0
2026-04-10,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,-18.0
2026-04-10,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,-20.0
2026-04-10,CCJ,CAMECO ,,MR Discretion,22.0
2026-04-10,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,-22.0
2026-04-10,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,-9.0
2026-04-10,CDW,CDW ,Information Technology,Information Technology,-43.0
2026-04-10,CEG,CONSTELLATION ENERGY,Utilities,Utilities,-30.0
2026-04-10,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,1.0
2026-04-10,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,-7.0
2026-04-10,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,22.0
2026-04-10,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,25.0
2026-04-10,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,19.0
2026-04-10,CI,THE CIGNA GROUP,Health Care,Health Care,-70.0
2026-04-10,CIEN,CIENA CORPORATION,Information Technology,Information Technology,13.0
2026-04-10,CINF,CINCINNATI FINANCIAL ,Financials,Financials,50.0
2026-04-10,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,29.0
2026-04-10,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,-18.0
2026-04-10,CMBT,CMB.TECH NV,,MR Discretion,1.0
2026-04-10,CMCSA,COMCAST ,Communication Services,Communication Services,14.0
2026-04-10,CME,CME GROUP INC.,Financials,Financials,28.0
2026-04-10,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,-46.0
2026-04-10,CMI,CUMMINS INC.,Industrials,Industrials,-36.0
2026-04-10,CMRE,COSTAMARE INC.,,MR Discretion,37.0
2026-04-10,CMS,CMS ENERGY ,Utilities,Utilities,49.0
2026-04-10,CNC,CENTENE ,Health Care,Health Care,-78.0
2026-04-10,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,76.0
2026-04-10,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,-8.0
2026-04-10,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,-36.0
2026-04-10,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,-33.0
2026-04-10,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,1.0
2026-04-10,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,-7.0
2026-04-10,COP,CONOCOPHILLIPS,Energy,Energy,24.0
2026-04-10,COR,"CENCORA, INC.",Health Care,Health Care,20.0
2026-04-10,CORN,TEUCRIUM:CORN,,Commodities,2.0
2026-04-10,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,10.0
2026-04-10,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,4.0
2026-04-10,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,Consumer Staples,-10.0
2026-04-10,CPER,UNITED STATES COPPER IDX,,Commodities,-5.0
2026-04-10,CPRT,"COPART, INC.",Industrials,Industrials,-21.0
2026-04-10,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,-28.0
2026-04-10,CRESY,CRESUD INC.,,MR Discretion,3.0
2026-04-10,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,-43.0
2026-04-10,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,-22.0
2026-04-10,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,-11.0
2026-04-10,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,-12.0
2026-04-10,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,53.0
2026-04-10,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,-41.0
2026-04-10,CSX,CSX ,Industrials,Industrials,-2.0
2026-04-10,CTAS,CINTAS ,Industrials,Industrials,-30.0
2026-04-10,CTRA,COTERRA ENERGY INC.,Energy,Energy,60.0
2026-04-10,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,14.0
2026-04-10,CTVA,"CORTEVA, INC.",Materials,Materials,33.0
2026-04-10,CVNA,CARVANA CO.,Consumer Discretionary,Consumer Discretionary,-7.0
2026-04-10,CVS,CVS HEALTH ,Health Care,Health Care,15.0
2026-04-10,CVX,CHEVRON ,Energy,Energy,-8.0
2026-04-10,D,"DOMINION ENERGY, INC.",Utilities,Utilities,42.0
2026-04-10,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,-48.0
2026-04-10,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,-12.0
2026-04-10,DBA,INVESCO DB MS AGRI,,Commodities,-56.0
2026-04-10,DBB,INVESCO DB MS BMTL,,Commodities,13.0
