Ticker,Ticker_name,Category,Date,model_score,previous_model_score,model_score_daily_change
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-03-30,62.0,55.0,7.0
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-03-30,62.0,36.0,26.0
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-03-30,62.0,33.0,29.0
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-03-30,53.0,55.0,-2.0
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-03-30,47.0,18.0,29.0
TIP,ISHARES:TIPS BD ETF,Bonds,2026-03-30,47.0,27.0,20.0
PFF,ISHARES:PREF AND INC SEC,Bonds,2026-03-30,36.0,36.0,0.0
MUB,ISHARES:NATL MUNI BOND,Bonds,2026-03-30,33.0,36.0,-3.0
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-03-30,33.0,36.0,-3.0
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-03-30,33.0,73.0,-40.0
HYD,VANECK:HIGH YIELD MUNI,Bonds,2026-03-30,33.0,36.0,-3.0
SCHP,SCHWAB STR:US TIPS,Bonds,2026-03-30,29.0,35.0,-6.0
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-03-30,3.0,47.0,-44.0
DBB,INVESCO DB MS BMTL,Commodities,2026-03-30,59.0,-9.0,68.0
URA,GLBL X URANIUM ETF,Commodities,2026-03-30,24.0,35.0,-11.0
CORN,TEUCRIUM:CORN,Commodities,2026-03-30,17.0,-28.0,45.0
SOYB,TEUCRIUM:SOYBEAN,Commodities,2026-03-30,15.0,38.0,-23.0
CPER,UNITED STATES COPPER IDX,Commodities,2026-03-30,7.0,37.0,-30.0
UNG,UNITED STATES NAT GAS,Commodities,2026-03-30,4.0,10.0,-6.0
SLV,ISHARES:SILVER TRUST,Commodities,2026-03-30,-0.0,0.0,-0.0
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-03-30,0.0,0.0,0.0
GDX,VANECK:GOLD MINERS,Commodities,2026-03-30,0.0,0.0,0.0
GLD,SPDR GOLD,Commodities,2026-03-30,0.0,0.0,0.0
GDXJ,VANECK:JR GOLD MINERS,Commodities,2026-03-30,0.0,0.0,0.0
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2026-03-30,-14.0,-48.0,34.0
USO,UNITED STATES OIL FUND,Commodities,2026-03-30,-17.0,-17.0,0.0
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-03-30,-17.0,-3.0,-14.0
DBC,INVESCO DB CM IDX,Commodities,2026-03-30,-17.0,-17.0,0.0
