Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-04-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-101.0,-61.0,40.0
2026-04-16,AAPL,APPLE INC.,Information Technology,Information Technology,-17.0,23.0,40.0
2026-04-16,ABBV,ABBVIE INC.,Health Care,Health Care,-12.0,35.0,47.0
2026-04-16,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,11.0,6.0,-5.0
2026-04-16,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-18.0,-29.0,-11.0
2026-04-16,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-23.0,-27.0,-4.0
2026-04-16,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,-23.0,-28.0,-5.0
2026-04-16,ADBE,ADOBE INC.,Information Technology,Information Technology,55.0,23.0,-32.0
2026-04-16,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-104.0,-50.0,54.0
2026-04-16,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-3.0,14.0,17.0
2026-04-16,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-20.0,-14.0,6.0
2026-04-16,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-10.0,-27.0,-17.0
2026-04-16,AEE,AMEREN ,Utilities,Utilities,-67.0,-8.0,59.0
2026-04-16,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-29.0,5.0,34.0
2026-04-16,AES,THE AES ,Utilities,Utilities,-43.0,-8.0,35.0
2026-04-16,AFL,AFLAC INC.,Financials,Financials,-57.0,-14.0,43.0
2026-04-16,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-45.0,-33.0,12.0
2026-04-16,AIZ,"ASSURANT, INC.",Financials,Financials,-49.0,-40.0,9.0
2026-04-16,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-21.0,-26.0,-5.0
2026-04-16,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,27.0,0.0,-27.0
2026-04-16,ALB,ALBEMARLE ,Materials,Materials,-86.0,-35.0,51.0
2026-04-16,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-67.0,-20.0,47.0
2026-04-16,ALL,THE ALLSTATE ,Financials,Financials,-16.0,-12.0,4.0
2026-04-16,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,-20.0,4.0,24.0
2026-04-16,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-27.0,-13.0,14.0
2026-04-16,AMCR,AMCOR PLC,Materials,Materials,-23.0,-11.0,12.0
2026-04-16,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,6.0,-20.0,-26.0
2026-04-16,AME,"AMETEK, INC.",Industrials,Industrials,-98.0,-54.0,44.0
2026-04-16,AMGN,AMGEN INC.,Health Care,Health Care,52.0,34.0,-18.0
2026-04-16,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-68.0,-28.0,40.0
2026-04-16,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-49.0,-20.0,29.0
2026-04-16,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-21.0,-35.0,-14.0
2026-04-16,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,17.0,-17.0,-34.0
2026-04-16,AON,AON PLC,Financials,Financials,-77.0,-41.0,36.0
2026-04-16,AOS,A. O. SMITH ,Industrials,Industrials,-12.0,-12.0,0.0
2026-04-16,APA,APA ,Energy,Energy,56.0,19.0,-37.0
2026-04-16,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,0.0,-14.0,-14.0
2026-04-16,APH,AMPHENOL ,Information Technology,Information Technology,-28.0,-19.0,9.0
2026-04-16,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,24.0,-19.0,-43.0
2026-04-16,APP,APPLOVIN CORP,Information Technology,Information Technology,0.0,3.0,3.0
2026-04-16,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-40.0,-14.0,26.0
2026-04-16,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-90.0,-54.0,36.0
2026-04-16,ARES,ARES MANAGEMENT CORP,Financials,Financials,-14.0,-19.0,-5.0
2026-04-16,ASC,ARDMORE SHIPPING ,,MR Discretion,-50.0,5.0,55.0
2026-04-16,ATO,ATMOS ENERGY ,Utilities,Utilities,-79.0,-8.0,71.0
2026-04-16,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,-20.0,-40.0,-20.0
2026-04-16,AVGO,BROADCOM INC.,Information Technology,Information Technology,-52.0,-60.0,-8.0
2026-04-16,AVY,AVERY DENNISON ,Materials,Materials,-119.0,-34.0,85.0
2026-04-16,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,14.0,47.0,33.0
2026-04-16,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,58.0,-4.0,-62.0
2026-04-16,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-58.0,-43.0,15.0
2026-04-16,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,-46.0,-31.0,15.0
2026-04-16,BA,THE BOEING COMPANY,Industrials,Industrials,-131.0,-67.0,64.0
2026-04-16,BAC,BANK OF AMERICA ,Financials,Financials,-93.0,-53.0,40.0
2026-04-16,BALL,BALL ,Materials,Materials,-76.0,-23.0,53.0
2026-04-16,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-69.0,-40.0,29.0
2026-04-16,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-36.0,-30.0,6.0
2026-04-16,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,-23.0,4.0,27.0
2026-04-16,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,-56.0,-20.0,36.0
2026-04-16,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,12.0,0.0,-12.0
2026-04-16,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,-17.0,16.0,33.0
2026-04-16,BIIB,BIOGEN INC.,Health Care,Health Care,37.0,53.0,16.0
2026-04-16,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,-49.0,-20.0,29.0
2026-04-16,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,13.0,-19.0,-32.0
2026-04-16,BKR,BAKER HUGHES COMPANY,Energy,Energy,-61.0,-2.0,59.0
2026-04-16,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-70.0,-35.0,35.0
2026-04-16,BLK,"BLACKROCK, INC.",Financials,Financials,-84.0,-63.0,21.0
2026-04-16,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,-42.0,5.0,47.0
2026-04-16,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,-3.0,3.0,6.0
2026-04-16,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,-44.0,-47.0,-3.0
2026-04-16,BRO,"BROWN & BROWN, INC.",Financials,Financials,-31.0,-17.0,14.0
2026-04-16,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,44.0,13.0,-31.0
2026-04-16,BTC=F,BITCOIN FUTURES,,Futures,-15.0,-44.0,-29.0
2026-04-16,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-48.0,-19.0,29.0
2026-04-16,BTU,PEABODY ENERGY ,,MR Discretion,20.0,12.0,-8.0
2026-04-16,BX,BLACKSTONE INC,Financials,Financials,-2.0,-23.0,-21.0
2026-04-16,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-81.0,-23.0,58.0
2026-04-16,C,CITIGROUP INC.,Financials,Financials,-62.0,-57.0,5.0
2026-04-16,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,29.0,29.0,0.0
2026-04-16,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-11.0,24.0,35.0
2026-04-16,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,-17.0,35.0,52.0
2026-04-16,CANE,TEUCRIUM:SUGAR,,Commodities,105.0,70.0,-35.0
2026-04-16,CARR,CARRIER GLOBAL ,Industrials,Industrials,-69.0,-31.0,38.0
2026-04-16,CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,Consumer Staples,-43.0,-32.0,11.0
2026-04-16,CAT,CATERPILLAR INC.,Industrials,Industrials,-24.0,-9.0,15.0
2026-04-16,CB,CHUBB LTD,Financials,Financials,17.0,26.0,9.0
2026-04-16,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,-79.0,-63.0,16.0
2026-04-16,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,-60.0,-20.0,40.0
2026-04-16,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,-46.0,-37.0,9.0
2026-04-16,CCJ,CAMECO ,,MR Discretion,-37.0,-22.0,15.0
2026-04-16,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,-78.0,-31.0,47.0
2026-04-16,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,9.0,-12.0,-21.0
2026-04-16,CDW,CDW ,Information Technology,Information Technology,-38.0,-26.0,12.0
2026-04-16,CEG,CONSTELLATION ENERGY,Utilities,Utilities,-11.0,-13.0,-2.0
2026-04-16,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,51.0,34.0,-17.0
2026-04-16,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,-72.0,-24.0,48.0
2026-04-16,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,-32.0,-5.0,27.0
2026-04-16,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,7.0,30.0,23.0
2026-04-16,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,13.0,18.0,5.0
2026-04-16,CI,THE CIGNA GROUP,Health Care,Health Care,-23.0,-33.0,-10.0
2026-04-16,CIEN,CIENA CORPORATION,Information Technology,Information Technology,30.0,22.0,-8.0
2026-04-16,CINF,CINCINNATI FINANCIAL ,Financials,Financials,2.0,2.0,0.0
2026-04-16,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,16.0,40.0,24.0
2026-04-16,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,-48.0,16.0,64.0
2026-04-16,CMBT,CMB.TECH NV,,MR Discretion,-6.0,22.0,28.0
2026-04-16,CMCSA,COMCAST ,Communication Services,Communication Services,-61.0,-22.0,39.0
2026-04-16,CME,CME GROUP INC.,Financials,Financials,49.0,79.0,30.0
2026-04-16,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,-41.0,-50.0,-9.0
2026-04-16,CMI,CUMMINS INC.,Industrials,Industrials,-65.0,-24.0,41.0
2026-04-16,CMRE,COSTAMARE INC.,,MR Discretion,-14.0,-14.0,0.0
2026-04-16,CMS,CMS ENERGY ,Utilities,Utilities,-28.0,30.0,58.0
2026-04-16,CNC,CENTENE ,Health Care,Health Care,0.0,-2.0,-2.0
2026-04-16,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,-38.0,5.0,43.0
2026-04-16,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,52.0,14.0,-38.0
2026-04-16,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,-63.0,-23.0,40.0
2026-04-16,COHR,COHERENT CORP.,Information Technology,Information Technology,74.0,48.0,-26.0
2026-04-16,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,59.0,-10.0,-69.0
2026-04-16,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,33.0,19.0,-14.0
2026-04-16,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,-25.0,-5.0,20.0
2026-04-16,COP,CONOCOPHILLIPS,Energy,Energy,66.0,33.0,-33.0
2026-04-16,COR,"CENCORA, INC.",Health Care,Health Care,40.0,40.0,0.0
2026-04-16,CORN,TEUCRIUM:CORN,,Commodities,45.0,62.0,17.0
2026-04-16,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,8.0,3.0,-5.0
2026-04-16,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,-28.0,-9.0,19.0
2026-04-16,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,Consumer Staples,-51.0,-51.0,0.0
2026-04-16,CPER,UNITED STATES COPPER IDX,,Commodities,-103.0,-62.0,41.0
2026-04-16,CPRT,"COPART, INC.",Industrials,Industrials,16.0,-31.0,-47.0
2026-04-16,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,3.0,3.0,0.0
2026-04-16,CRESY,CRESUD INC.,,MR Discretion,47.0,-9.0,-56.0
2026-04-16,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,-125.0,-79.0,46.0
2026-04-16,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,-73.0,-62.0,11.0
2026-04-16,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,3.0,-2.0,-5.0
2026-04-16,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,-22.0,-27.0,-5.0
2026-04-16,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,-50.0,4.0,54.0
2026-04-16,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,10.0,-10.0,-20.0
2026-04-16,CSX,CSX ,Industrials,Industrials,-76.0,-17.0,59.0
2026-04-16,CTAS,CINTAS ,Industrials,Industrials,-39.0,-39.0,0.0
2026-04-16,CTRA,COTERRA ENERGY INC.,Energy,Energy,43.0,35.0,-8.0
2026-04-16,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,-19.0,-5.0,14.0
2026-04-16,CTVA,"CORTEVA, INC.",Materials,Materials,18.0,16.0,-2.0
2026-04-16,CVNA,CARVANA CO.,Consumer Discretionary,Consumer Discretionary,-38.0,-33.0,5.0
