Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-02-13,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,35.0,63.0,28.0
2026-02-13,AAPL,APPLE INC.,Information Technology,Information Technology,26.0,23.0,-3.0
2026-02-13,ABBV,ABBVIE INC.,Health Care,Health Care,-62.0,-40.0,22.0
2026-02-13,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,76.0,23.0,-53.0
2026-02-13,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-58.0,-13.0,45.0
2026-02-13,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,17.0,-44.0,-61.0
2026-02-13,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,41.0,-16.0,-57.0
2026-02-13,ADBE,ADOBE INC.,Information Technology,Information Technology,70.0,-32.0,-102.0
2026-02-13,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-53.0,-14.0,39.0
2026-02-13,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-64.0,11.0,75.0
2026-02-13,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,5.0,-0.0,-5.0
2026-02-13,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,16.0,25.0,9.0
2026-02-13,AEE,AMEREN ,Utilities,Utilities,-49.0,-2.0,47.0
2026-02-13,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-68.0,-17.0,51.0
2026-02-13,AES,THE AES ,Utilities,Utilities,-46.0,-71.0,-25.0
2026-02-13,AFL,AFLAC INC.,Financials,Financials,-38.0,-36.0,2.0
2026-02-13,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,40.0,-41.0,-81.0
2026-02-13,AIZ,"ASSURANT, INC.",Financials,Financials,55.0,2.0,-53.0
2026-02-13,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,24.0,-16.0,-40.0
2026-02-13,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,8.0,-2.0,-10.0
2026-02-13,ALB,ALBEMARLE ,Materials,Materials,1.0,10.0,9.0
2026-02-13,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-27.0,-37.0,-10.0
