Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-03-13,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-29.0,18.0,47.0
2026-03-13,AAPL,APPLE INC.,Information Technology,Information Technology,-36.0,-20.0,16.0
2026-03-13,ABBV,ABBVIE INC.,Health Care,Health Care,27.0,7.0,-20.0
2026-03-13,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,32.0,-19.0,-51.0
2026-03-13,ABT,ABBOTT LABORATORIES,Health Care,Health Care,52.0,26.0,-26.0
2026-03-13,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,8.0,-9.0,-17.0
2026-03-13,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,24.0,-25.0,-49.0
2026-03-13,ADBE,ADOBE INC.,Information Technology,Information Technology,-57.0,-64.0,-7.0
2026-03-13,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,54.0,61.0,7.0
2026-03-13,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,18.0,42.0,24.0
2026-03-13,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-26.0,-53.0,-27.0
2026-03-13,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-17.0,-67.0,-50.0
2026-03-13,AEE,AMEREN ,Utilities,Utilities,-24.0,14.0,38.0
2026-03-13,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,11.0,25.0,14.0
2026-03-13,AES,THE AES ,Utilities,Utilities,-14.0,7.0,21.0
2026-03-13,AFL,AFLAC INC.,Financials,Financials,86.0,35.0,-51.0
2026-03-13,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,19.0,-30.0,-49.0
2026-03-13,AIZ,"ASSURANT, INC.",Financials,Financials,-54.0,-16.0,38.0
2026-03-13,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-8.0,-35.0,-27.0
2026-03-13,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-10.0,-11.0,-1.0
2026-03-13,ALB,ALBEMARLE ,Materials,Materials,-8.0,18.0,26.0
2026-03-13,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,47.0,29.0,-18.0
2026-03-13,ALL,THE ALLSTATE ,Financials,Financials,46.0,-1.0,-47.0
2026-03-13,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,65.0,14.0,-51.0
2026-03-13,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-32.0,-25.0,7.0
2026-03-13,AMCR,AMCOR PLC,Materials,Materials,34.0,37.0,3.0
2026-03-13,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,31.0,-13.0,-44.0
2026-03-13,AME,"AMETEK, INC.",Industrials,Industrials,65.0,83.0,18.0
2026-03-13,AMGN,AMGEN INC.,Health Care,Health Care,89.0,60.0,-29.0
2026-03-13,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,78.0,40.0,-38.0
2026-03-13,AMT,AMERICAN TOWER ,Real Estate,Real Estate,36.0,-18.0,-54.0
2026-03-13,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-17.0,-14.0,3.0
2026-03-13,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-17.0,-32.0,-15.0
2026-03-13,AON,AON PLC,Financials,Financials,6.0,-5.0,-11.0
2026-03-13,AOS,A. O. SMITH ,Industrials,Industrials,-2.0,-20.0,-18.0
2026-03-13,APA,APA ,Energy,Energy,23.0,-2.0,-25.0
2026-03-13,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-19.0,6.0,25.0
2026-03-13,APH,AMPHENOL ,Information Technology,Information Technology,28.0,27.0,-1.0
2026-03-13,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,21.0,14.0,-7.0
2026-03-13,APP,APPLOVIN CORP,Information Technology,Information Technology,-4.0,-61.0,-57.0
2026-03-13,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-2.0,23.0,25.0
2026-03-13,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-7.0,5.0,12.0
2026-03-13,ARES,ARES MANAGEMENT CORP,Financials,Financials,12.0,-41.0,-53.0
2026-03-13,ASC,ARDMORE SHIPPING ,,MR Discretion,16.0,26.0,10.0
2026-03-13,ATO,ATMOS ENERGY ,Utilities,Utilities,-31.0,-23.0,8.0
2026-03-13,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,-8.0,-51.0,-43.0
2026-03-13,AVGO,BROADCOM INC.,Information Technology,Information Technology,-6.0,6.0,12.0
2026-03-13,AVY,AVERY DENNISON ,Materials,Materials,56.0,52.0,-4.0
2026-03-13,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,0.0,-37.0,-37.0
2026-03-13,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,7.0,-53.0,-60.0
2026-03-13,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,21.0,37.0,16.0
2026-03-13,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,101.0,58.0,-43.0
2026-03-13,BA,THE BOEING COMPANY,Industrials,Industrials,37.0,13.0,-24.0
2026-03-13,BAC,BANK OF AMERICA ,Financials,Financials,-41.0,-13.0,28.0
2026-03-13,BALL,BALL ,Materials,Materials,34.0,36.0,2.0
2026-03-13,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,7.0,3.0,-4.0
2026-03-13,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-54.0,-39.0,15.0
2026-03-13,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,3.0,-8.0,-11.0
2026-03-13,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,-1.0,13.0,14.0
2026-03-13,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-25.0,-14.0,11.0
2026-03-13,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,18.0,42.0,24.0
2026-03-13,BIIB,BIOGEN INC.,Health Care,Health Care,27.0,20.0,-7.0
2026-03-13,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,9.0,53.0,44.0
2026-03-13,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,5.0,-22.0,-27.0
2026-03-13,BKR,BAKER HUGHES COMPANY,Energy,Energy,-9.0,-11.0,-2.0
2026-03-13,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,50.0,9.0,-41.0
2026-03-13,BLK,"BLACKROCK, INC.",Financials,Financials,-13.0,0.0,13.0
2026-03-13,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,-29.0,5.0,34.0
2026-03-13,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,9.0,-18.0,-27.0
2026-03-13,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,34.0,11.0,-23.0
2026-03-13,BRO,"BROWN & BROWN, INC.",Financials,Financials,14.0,-5.0,-19.0
2026-03-13,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,40.0,6.0,-34.0
2026-03-13,BTC=F,BITCOIN FUTURES,,Futures,-5.0,-27.0,-22.0
2026-03-13,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,2.0,35.0,33.0
2026-03-13,BTU,PEABODY ENERGY ,,MR Discretion,-24.0,30.0,54.0
