Ticker,Date,Zscore,prem_disc
A,2026-03-13,1.3,0.24
A,2026-02-11,-0.8,0.383
AAPL,2026-03-13,-0.86,-0.057
AAPL,2026-02-11,1.1,-0.0774
ABBV,2026-03-13,-0.1,0.1449
ABBV,2026-02-11,-2.3,0.097
ABNB,2026-03-13,0.06,0.0427
ABNB,2026-02-11,1.24,0.3744
ABT,2026-03-13,-0.42,0.1267
ABT,2026-02-11,0.76,-0.6334
ACGL,2026-03-13,-2.5,0.804
ACGL,2026-02-11,2.05,-0.1179
ACN,2026-03-13,-0.63,0.133
ACN,2026-02-11,1.37,-0.1198
ADBE,2026-03-13,1.28,-0.0362
ADBE,2026-02-11,1.42,0.3259
ADI,2026-03-13,0.89,0.1737
ADI,2026-02-11,-0.04,0.2598
ADM,2026-03-13,0.83,0.5231
ADM,2026-02-11,-2.07,0.2999
ADP,2026-03-13,0.53,-0.0701
ADP,2026-02-11,1.5,0.1241
ADSK,2026-03-13,-1.6,-0.0181
ADSK,2026-02-11,0.89,0.0673
AEE,2026-03-13,1.63,-0.0214
AEE,2026-02-11,-0.58,0.8441
AEP,2026-03-13,0.66,-0.0487
AEP,2026-02-11,-0.76,0.5965
AES,2026-03-13,0.76,-0.8649
AES,2026-02-11,1.1,-0.2552
AFL,2026-03-13,-2.49,0.8148
AFL,2026-02-11,2.16,-0.0857
AIG,2026-03-13,-3.69,0.6981
AIG,2026-02-11,-1.0,-0.0953
AIZ,2026-03-13,-4.08,0.1404
AIZ,2026-02-11,4.12,-0.3792
AJG,2026-03-13,-2.54,0.2246
AJG,2026-02-11,2.2,-0.14
AKAM,2026-03-13,0.32,-0.4629
AKAM,2026-02-11,0.63,0.2879
ALB,2026-03-13,-0.96,0.0452
ALB,2026-02-11,0.96,-0.0591
ALGN,2026-03-13,-1.73,0.0501
ALGN,2026-02-11,1.84,-0.2728
ALL,2026-03-13,-2.26,0.2
ALL,2026-02-11,2.09,-0.2585
ALLE,2026-03-13,0.03,-0.2965
ALLE,2026-02-11,-0.71,0.6451
AMAT,2026-03-13,-0.13,-0.0033
AMAT,2026-02-11,0.61,0.063
AMCR,2026-03-13,-1.47,0.0215
AMCR,2026-02-11,1.25,-0.004
AMD,2026-03-13,-1.66,-0.0064
AMD,2026-02-11,1.61,-0.38
AME,2026-03-13,1.87,0.1082
AME,2026-02-11,-0.27,0.2
AMGN,2026-03-13,-1.86,0.1648
AMGN,2026-02-11,1.57,-0.269
AMP,2026-03-13,-2.94,0.0544
AMP,2026-02-11,2.38,-0.3149
AMT,2026-03-13,0.07,-0.1136
AMT,2026-02-11,1.12,-0.0539
AMZN,2026-03-13,-1.89,0.2896
AMZN,2026-02-11,1.54,-0.0063
ANET,2026-03-13,-0.66,-0.0317
ANET,2026-02-11,1.26,-0.0141
AON,2026-03-13,-2.56,0.1182
AON,2026-02-11,2.38,-0.3353
AOS,2026-03-13,-1.25,0.3893
AOS,2026-02-11,0.17,-0.2877
APA,2026-03-13,0.68,0.0866
APA,2026-02-11,-2.15,0.2078
APD,2026-03-13,-0.57,0.3331
APD,2026-02-11,1.2,-0.2681
APH,2026-03-13,-1.61,0.243
APH,2026-02-11,1.32,-0.4173
APO,2026-03-13,0.2,0.0254
APO,2026-02-11,1.83,-0.0986
APP,2026-03-13,-1.78,-0.3313
APP,2026-02-11,1.71,-0.3653
APTV,2026-03-13,-1.81,0.1582
APTV,2026-02-11,0.19,-0.2104
ARE,2026-03-13,-1.49,0.2594
ARE,2026-02-11,1.26,0.0211
ARES,2026-03-13,-1.21,0.1912
ARES,2026-02-11,1.83,-0.2817
ASC,2026-03-13,2.97,0.0687
ASC,2026-02-11,-2.07,1.2507
ATO,2026-03-13,-0.81,0.5188
ATO,2026-02-11,1.31,0.2069
AVB,2026-03-13,-2.02,0.9038
AVB,2026-02-11,1.53,-0.3019
AVGO,2026-03-13,-1.08,0.3195
AVGO,2026-02-11,1.13,0.277
AVY,2026-03-13,0.4,0.2215
AVY,2026-02-11,0.5,0.1394
AWK,2026-03-13,1.09,-0.1801
AWK,2026-02-11,0.05,0.2026
AXON,2026-03-13,0.21,-0.3122
AXON,2026-02-11,1.23,0.2632
AXP,2026-03-13,0.8,-0.1286
AXP,2026-02-11,-0.92,0.215
AZO,2026-03-13,1.06,-0.0601
AZO,2026-02-11,-0.59,0.4441
BA,2026-03-13,2.27,0.1222
BA,2026-02-11,-0.66,0.2276
BAC,2026-03-13,0.2,0.171
BAC,2026-02-11,2.11,0.0829
BALL,2026-03-13,-1.58,0.8275
BALL,2026-02-11,1.38,-0.2929
BAX,2026-03-13,0.57,-0.4054
BAX,2026-02-11,-0.12,0.7373
BBY,2026-03-13,0.14,0.3003
BBY,2026-02-11,-3.19,0.6977
BDX,2026-03-13,-3.94,0.5542
BDX,2026-02-11,3.36,-0.0309
BEN,2026-03-13,0.41,0.3619
BEN,2026-02-11,1.47,-0.2875
BF.B,2026-03-13,1.33,-0.0886
BF.B,2026-02-11,0.09,0.1058
BG,2026-03-13,0.56,0.3783
BG,2026-02-11,-1.37,0.3005
BIIB,2026-03-13,-1.96,0.2325
BIIB,2026-02-11,2.02,-0.2959
BK,2026-03-13,-2.85,0.1177
BK,2026-02-11,2.84,-0.1848
BKNG,2026-03-13,0.24,-0.3041
BKNG,2026-02-11,1.52,0.0901
BKR,2026-03-13,0.38,0.2604
BKR,2026-02-11,-1.62,0.0437
BLDR,2026-03-13,-1.33,0.4252
BLDR,2026-02-11,-2.75,0.4636
BLK,2026-03-13,1.06,0.2176
BLK,2026-02-11,0.51,-0.2164
BMY,2026-03-13,-1.96,0.7118
BMY,2026-02-11,1.9,-0.1847
BR,2026-03-13,-2.34,0.261
BR,2026-02-11,1.63,-0.1332
BRK.B,2026-03-13,0.77,-0.0443
BRK.B,2026-02-11,1.7,0.098
BRO,2026-03-13,-1.87,0.2083
BRO,2026-02-11,1.48,-0.1553
BSX,2026-03-13,-1.56,0.7725
BSX,2026-02-11,1.53,-0.6037
BTC=F,2026-03-13,-1.86,
BTC=F,2026-02-11,1.82,
BTI,2026-03-13,1.02,0.0869
BTI,2026-02-11,0.07,-0.0173
BTU,2026-03-13,1.05,0.0472
BTU,2026-02-11,1.84,0.3511
BX,2026-03-13,1.43,0.0053
BX,2026-02-11,0.94,-0.1467
BXP,2026-03-13,-0.37,0.0966
BXP,2026-02-11,3.61,0.013
C,2026-03-13,-0.41,-0.0438
C,2026-02-11,1.54,-0.1861
CAG,2026-03-13,1.07,0.1264
CAG,2026-02-11,0.09,-0.2245
CAH,2026-03-13,-1.81,0.13
CAH,2026-02-11,1.74,-0.4446
CALM,2026-03-13,-1.27,0.7148
CALM,2026-02-11,0.25,0.0046
CANE,2026-03-13,-0.23,0.9374
CANE,2026-02-11,1.67,2.4039
CARR,2026-03-13,0.28,0.1222
CARR,2026-02-11,-0.83,0.0741
CAT,2026-03-13,-2.78,0.4166
CAT,2026-02-11,1.93,-0.0665
CB,2026-03-13,-1.14,0.1894
CB,2026-02-11,1.04,-0.0566
CBOE,2026-03-13,1.04,-0.0831
CBOE,2026-02-11,2.28,-0.0033
CBRE,2026-03-13,-3.72,-0.2122
CBRE,2026-02-11,3.69,-0.2451
CCI,2026-03-13,-1.79,-0.0816
CCI,2026-02-11,1.76,-0.2799
CCJ,2026-03-13,-1.01,0.1193
CCJ,2026-02-11,1.57,-0.0929
CCL,2026-03-13,-1.12,0.2893
CCL,2026-02-11,1.3,-0.1932
CDNS,2026-03-13,-1.09,-0.0508
CDNS,2026-02-11,1.43,0.0723
CDW,2026-03-13,-1.59,0.4054
CDW,2026-02-11,1.76,-0.1912
CEG,2026-03-13,-0.99,0.1623
CEG,2026-02-11,0.25,-0.0212
CF,2026-03-13,2.96,0.0502
CF,2026-02-11,0.04,0.1592
CFG,2026-03-13,0.35,0.139
CFG,2026-02-11,0.47,-0.1511
CHD,2026-03-13,-0.9,0.2104
CHD,2026-02-11,0.69,0.0564
CHRW,2026-03-13,0.89,-0.3509
CHRW,2026-02-11,1.15,0.2249
CHTR,2026-03-13,-1.47,0.4399
CHTR,2026-02-11,1.35,-0.2617
CI,2026-03-13,-2.09,0.3118
CI,2026-02-11,1.58,0.0369
CIEN,2026-03-13,1.0,0.1649
CIEN,2026-02-11,-1.96,0.4946
CINF,2026-03-13,-2.12,0.1439
CINF,2026-02-11,2.11,-0.2605
CL,2026-03-13,0.06,0.0214
CL,2026-02-11,-0.04,-0.2371
CLX,2026-03-13,0.97,-0.1474
CLX,2026-02-11,1.36,-0.1336
CMBT,2026-03-13,1.98,0.1171
CMBT,2026-02-11,-2.16,0.1337
CMCSA,2026-03-13,-0.47,0.5962
CMCSA,2026-02-11,-0.35,0.0051
CME,2026-03-13,1.37,-0.1345
CME,2026-02-11,-1.4,1.1452
CMG,2026-03-13,-0.47,0.0605
CMG,2026-02-11,1.83,-0.0086
CMI,2026-03-13,-2.06,0.3009
CMI,2026-02-11,1.91,-0.4172
CMRE,2026-03-13,-1.42,0.2052
CMRE,2026-02-11,1.57,0.0853
CMS,2026-03-13,-0.48,0.0976
CMS,2026-02-11,1.01,0.5865
CNC,2026-03-13,1.6,-0.2286
CNC,2026-02-11,0.92,-0.0958
CNP,2026-03-13,0.06,0.256
CNP,2026-02-11,0.58,0.5221
CNR,2026-03-13,1.0,0.0141
CNR,2026-02-11,1.66,0.3881
COF,2026-03-13,0.55,-0.1424
COF,2026-02-11,-0.16,-0.157
COIN,2026-03-13,-0.61,-0.3385
COIN,2026-02-11,2.0,-0.0988
COMT,2026-03-13,1.06,0.9564
COMT,2026-02-11,0.44,0.4186
COO,2026-03-13,1.15,0.9239
COO,2026-02-11,1.8,0.9201
COP,2026-03-13,-0.88,0.3433
COP,2026-02-11,-1.79,0.0519
COR,2026-03-13,-1.72,0.1923
COR,2026-02-11,1.61,-0.4435
CORN,2026-03-13,1.61,1.1497
CORN,2026-02-11,-4.32,0.7031
COST,2026-03-13,-1.91,0.1217
COST,2026-02-11,-0.72,0.3101
CPAY,2026-03-13,-1.84,-0.1487
CPAY,2026-02-11,1.66,-0.4327
CPB,2026-03-13,1.7,0.0889
CPB,2026-02-11,1.06,0.0517
CPER,2026-03-13,-1.46,0.2501
CPER,2026-02-11,0.92,-0.1572
CPRT,2026-03-13,1.47,-0.1611
CPRT,2026-02-11,0.07,0.6057
CPT,2026-03-13,-1.98,0.2383
CPT,2026-02-11,-0.62,-0.0907
CRESY,2026-03-13,-0.52,0.1419
CRESY,2026-02-11,0.73,0.142
CRH,2026-03-13,-0.56,0.3351
CRH,2026-02-11,-2.56,0.165
CRL,2026-03-13,-0.21,-0.0689
CRL,2026-02-11,2.26,0.1502
CRM,2026-03-13,-1.15,0.0495
CRM,2026-02-11,1.51,0.2112
CRWD,2026-03-13,-0.29,-0.2458
CRWD,2026-02-11,1.69,0.0825
CSCO,2026-03-13,-1.64,-0.3672
CSCO,2026-02-11,1.49,0.3332
CSGP,2026-03-13,-1.32,-0.1409
CSGP,2026-02-11,1.25,-0.1125
CSX,2026-03-13,1.29,0.1585
CSX,2026-02-11,0.2,0.2481
CTAS,2026-03-13,1.98,0.6577
CTAS,2026-02-11,-0.75,0.5311
CTRA,2026-03-13,-1.41,0.3101
CTRA,2026-02-11,0.97,0.4436
CTSH,2026-03-13,-1.56,-0.0855
CTSH,2026-02-11,1.54,-0.3317
CTVA,2026-03-13,0.82,0.1607
CTVA,2026-02-11,0.76,-0.114
CVNA,2026-03-13,-1.37,0.2355
CVNA,2026-02-11,1.1,0.3623
CVS,2026-03-13,-1.01,0.3865
CVS,2026-02-11,0.95,-0.5019
CVX,2026-03-13,1.07,0.2624
CVX,2026-02-11,-1.77,0.4128
D,2026-03-13,-1.98,0.1965
D,2026-02-11,-0.85,0.3122
DAL,2026-03-13,-0.95,0.2612
DAL,2026-02-11,2.01,-0.1475
DASH,2026-03-13,0.33,-0.0223
DASH,2026-02-11,1.75,1.0331
DBA,2026-03-13,1.49,2.0574
DBA,2026-02-11,-1.21,1.2192
DBB,2026-03-13,-1.09,-0.4541
DBB,2026-02-11,0.48,0.0482
DBC,2026-03-13,-0.59,1.0731
DBC,2026-02-11,1.25,-0.0415
DD,2026-03-13,-3.23,0.5877
DD,2026-02-11,2.35,0.0263
DDOG,2026-03-13,-2.65,-0.1286
DDOG,2026-02-11,1.87,-0.3089
DE,2026-03-13,0.42,-0.3098
DE,2026-02-11,-1.99,0.2713
DECK,2026-03-13,-1.18,0.6062
DECK,2026-02-11,1.02,-0.4901
DELL,2026-03-13,0.76,-0.4343
DELL,2026-02-11,1.73,0.2218
DG,2026-03-13,2.37,0.2624
DG,2026-02-11,-2.68,0.7312
DGX,2026-03-13,-3.11,0.4925
DGX,2026-02-11,2.71,-0.426
DHI,2026-03-13,-2.42,0.5427
DHI,2026-02-11,-2.45,0.1586
DHR,2026-03-13,-0.05,0.2264
DHR,2026-02-11,1.04,-0.119
DHT,2026-03-13,2.09,-0.0263
DHT,2026-02-11,-2.02,0.2814
DIA,2026-03-13,-1.39,0.8787
DIA,2026-02-11,1.42,-0.0054
DIS,2026-03-13,-1.79,0.1584
DIS,2026-02-11,1.42,-0.4081
DJI,2026-03-13,-1.4,
DJI,2026-02-11,1.42,
DLR,2026-03-13,-1.58,0.4053
DLR,2026-02-11,0.52,0.5164
DLTR,2026-03-13,-0.43,0.7164
DLTR,2026-02-11,-0.54,0.3266
DOC,2026-03-13,-0.98,0.1827
DOC,2026-02-11,0.66,0.0007
DOV,2026-03-13,-1.78,0.4338
DOV,2026-02-11,1.27,-0.08
DOW,2026-03-13,0.05,0.0256
DOW,2026-02-11,1.4,-0.1492
DPZ,2026-03-13,1.36,-0.0336
DPZ,2026-02-11,-0.49,0.4794
DRI,2026-03-13,-1.19,0.5145
DRI,2026-02-11,0.36,0.0124
DTE,2026-03-13,-1.16,0.4073
DTE,2026-02-11,1.76,0.4857
DUK,2026-03-13,-1.35,0.4101
DUK,2026-02-11,1.53,0.7049
DVA,2026-03-13,-1.62,0.3711
DVA,2026-02-11,1.43,-0.5869
DVN,2026-03-13,-0.38,0.4099
DVN,2026-02-11,-1.76,0.212
DXCM,2026-03-13,0.86,0.0738
DXCM,2026-02-11,-3.9,1.7405
DXY,2026-03-13,-0.81,
DXY,2026-02-11,1.09,
EA,2026-03-13,-1.95,0.6921
EA,2026-02-11,1.73,0.2502
EBAY,2026-03-13,-1.65,-0.1041
EBAY,2026-02-11,1.81,0.1225
EC,2026-03-13,1.24,0.988
EC,2026-02-11,0.85,-0.0901
ECH,2026-03-13,0.5,0.1505
ECH,2026-02-11,1.75,0.0186
ECL,2026-03-13,-1.18,0.4465
ECL,2026-02-11,1.98,0.0921
ED,2026-03-13,0.2,0.0177
ED,2026-02-11,1.14,0.4479
EDEN,2026-03-13,-1.68,
EDEN,2026-02-11,1.68,
EDV,2026-03-13,0.85,0.1977
EDV,2026-02-11,1.08,-0.3598
EFNL,2026-03-13,-1.2,
EFNL,2026-02-11,1.15,
EFX,2026-03-13,-1.22,-0.0361
EFX,2026-02-11,1.33,-0.3863
EG,2026-03-13,-2.62,0.4531
EG,2026-02-11,-0.26,0.1219
EIDO,2026-03-13,-0.96,-0.4388
EIDO,2026-02-11,1.01,-0.3947
EIRL,2026-03-13,0.17,
EIRL,2026-02-11,1.87,
EIS,2026-03-13,1.21,
EIS,2026-02-11,-0.75,
EIX,2026-03-13,0.0,0.091
EIX,2026-02-11,0.05,-0.0168
EL,2026-03-13,-1.4,0.0277
EL,2026-02-11,1.75,-0.5037
ELV,2026-03-13,-0.63,0.0248
ELV,2026-02-11,0.88,-0.4662
EME,2026-03-13,-1.59,0.2013
EME,2026-02-11,1.55,0.2958
EMR,2026-03-13,-1.66,-0.0944
EMR,2026-02-11,2.81,-0.2637
ENZL,2026-03-13,0.76,0.2417
ENZL,2026-02-11,1.33,1.8861
EOG,2026-03-13,-2.06,0.3229
EOG,2026-02-11,2.2,0.017
EPAM,2026-03-13,-0.63,-0.3544
EPAM,2026-02-11,1.71,-0.1588
EPHE,2026-03-13,0.7,
EPHE,2026-02-11,1.44,
EPOL,2026-03-13,0.09,0.7386
EPOL,2026-02-11,1.1,0.5995
EPU,2026-03-13,-1.38,
EPU,2026-02-11,1.44,
EQIX,2026-03-13,-1.0,-0.3389
EQIX,2026-02-11,1.16,1.5667
EQR,2026-03-13,-2.04,0.6808
EQR,2026-02-11,-0.17,-0.257
EQT,2026-03-13,-1.35,0.698
EQT,2026-02-11,0.69,0.0774
ERIE,2026-03-13,-1.67,0.247
ERIE,2026-02-11,1.96,-0.0794
ES,2026-03-13,0.02,-0.0054
ES,2026-02-11,-1.47,1.2552
ES=F,2026-03-13,-1.1,
ES=F,2026-02-11,1.6,
ESS,2026-03-13,-2.03,0.3361
ESS,2026-02-11,-0.94,-0.1821
ETN,2026-03-13,-1.46,0.2959
ETN,2026-02-11,2.27,0.0022
ETR,2026-03-13,-0.57,0.1065
ETR,2026-02-11,-0.94,0.287
EVRG,2026-03-13,-0.21,-0.0381
EVRG,2026-02-11,1.81,0.4558
EW,2026-03-13,1.2,-0.2928
EW,2026-02-11,2.29,-0.2472
EWA,2026-03-13,0.11,0.6553
EWA,2026-02-11,1.98,-0.1125
EWC,2026-03-13,-1.45,0.2372
EWC,2026-02-11,1.45,-0.3139
EWD,2026-03-13,0.02,0.1738
EWD,2026-02-11,1.35,0.0088
EWG,2026-03-13,0.81,0.4149
EWG,2026-02-11,1.54,-0.055
EWH,2026-03-13,0.44,0.3628
EWH,2026-02-11,-1.1,0.26
EWI,2026-03-13,0.6,0.0867
EWI,2026-02-11,1.73,-0.0736
EWJ,2026-03-13,-0.15,0.2929
EWJ,2026-02-11,1.23,0.0856
EWK,2026-03-13,0.44,2.108
EWK,2026-02-11,0.95,0.6746
EWL,2026-03-13,0.36,0.319
EWL,2026-02-11,1.11,-0.1835
EWM,2026-03-13,-0.7,0.4625
EWM,2026-02-11,0.97,1.6009
EWN,2026-03-13,1.03,-0.0048
EWN,2026-02-11,-0.37,-0.3601
EWO,2026-03-13,-0.52,
EWO,2026-02-11,1.51,
EWP,2026-03-13,0.9,-0.1082
EWP,2026-02-11,1.62,-0.4647
EWQ,2026-03-13,1.04,0.5863
EWQ,2026-02-11,1.27,0.3955
EWS,2026-03-13,-0.41,0.2171
EWS,2026-02-11,-0.49,0.025
EWT,2026-03-13,0.93,0.1989
EWT,2026-02-11,1.29,-0.0704
EWU,2026-03-13,-0.34,0.3028
EWU,2026-02-11,1.86,-0.1932
EWW,2026-03-13,0.34,-0.0608
EWW,2026-02-11,1.46,-0.0459
EWY,2026-03-13,1.42,0.0861
EWY,2026-02-11,2.15,0.1178
EWZ,2026-03-13,1.08,0.502
EWZ,2026-02-11,1.07,0.0531
EXC,2026-03-13,-1.6,-0.2877
EXC,2026-02-11,0.93,0.444
EXE,2026-03-13,-1.94,0.046
EXE,2026-02-11,1.59,-0.0116
EXPD,2026-03-13,0.71,-0.4677
EXPD,2026-02-11,0.18,0.4787
EXPE,2026-03-13,0.35,-0.2839
EXPE,2026-02-11,1.38,-0.095
EXR,2026-03-13,0.93,0.0915
EXR,2026-02-11,0.56,0.2478
F,2026-03-13,1.09,-0.0778
F,2026-02-11,-1.07,0.0366
FANG,2026-03-13,-0.8,0.2815
