Date,Ticker,Ticker_name,Category,Close,lt_pt_sm,change_pct,Ivol,rvol,prem_disc,model_score,Spread_Quad,rating,day_rr_ratio,week_rr_ratio,month_rr_ratio,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_dn,day_up,week_dn,week_up,month_dn,month_up
2026-02-23,A,"AGILENT TECHNOLOGIES, INC.",Health Care,124.2,136.39,0.0981,0.3838,0.24975363,0.536714401308201,56.0,1,Buy,-1.7386666666666657,-1.4056271981242705,3.2169553327256164,117.68,127.95,112.21,132.73,113.23,159.49,-0.05249597423510466,0.030193236714975757,-0.09653784219001615,0.06867954911433172,-0.08832528180354271,0.28413848631239946
2026-02-23,AAPL,APPLE INC.,Information Technology,266.18,287.39,0.0797,0.2795,0.31715679,-0.11873240992254963,6.0,4,Neutral,-1.3203389830508472,1.0195927775643496,1.2028766086298264,250.6,277.98,240.15,292.72,226.55,313.85,-0.05853182057254491,0.044330903899616914,-0.09779096851754454,0.09970696521151101,-0.14888421368998417,0.1790893380419265
2026-02-23,ABBV,ABBVIE INC.,Health Care,229.48,241.79,0.0536,0.2692,0.26018318,0.0346556606772197,-20.0,1,Neutral,-1.5767441860465077,1.0393013100436697,-1.1967314215232796,215.92,238.08,208.87,250.9,190.67,261.91,-0.05909011678577658,0.03747603276974032,-0.08981174830050542,0.09334146766602758,-0.1691214920690256,0.14131950496775336
2026-02-23,ABNB,"AIRBNB, INC.",Consumer Discretionary,122.96,127.92,0.0403,0.356,0.39613247,-0.10131073072601204,4.0,4,Neutral,1.1671428571428575,1.5028195488721798,1.6129629629629647,115.96,131.13,112.32,138.95,106.76,149.09,-0.05692908262849705,0.06644437215354593,-0.0865322055953156,0.13004229017566682,-0.13175016265452166,0.21250813272608982
2026-02-23,ABT,ABBOTT LABORATORIES,Health Care,115.29,117.88,0.0225,0.2222,0.2106071,0.055045152798742336,-26.0,1,Sell,-2.8294117647059025,-2.153342070773266,-1.0631948507899365,110.48,116.99,98.86,122.92,97.12,132.38,-0.041720877786451616,0.014745424581489974,-0.1425101916905196,0.06618093503339395,-0.157602567438633,0.14823488593980394
2026-02-23,ACGL,ARCH CAPITAL GROUP LTD.,Financials,98.7,103.47,0.0483,0.2332,0.25392863,-0.08163171675442815,-62.0,4,Sell,1.0843091334894612,1.5938037865748687,-1.1438535309503057,94.43,103.33,92.89,107.96,85.58,110.17,-0.04326241134751774,0.046909827760891476,-0.058865248226950384,0.09381965552178317,-0.1329280648429585,0.11621073961499495
2026-02-23,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,201.18,245.44,0.22,0.6014,0.48225167,0.24706670274464781,11.0,2,Neutral,1.9950495049504926,2.0152771715408115,25.430992736077503,193.1,217.3,178.27,247.35,197.05,306.21,-0.040163038075355484,0.08012724922954573,-0.1138781190973257,0.22949597375484632,-0.020528879610299255,0.5220697882493288
2026-02-23,ADBE,ADOBE INC.,Information Technology,246.68,271.39,0.1002,0.5888,0.37890863,0.553936631108138,-28.0,2,Sell,2.072802197802194,1.2052117263843654,5.10547875064004,239.4,261.77,219.05,279.98,227.15,346.39,-0.02951191827468791,0.06117236906113166,-0.11200745905626719,0.13499270309712985,-0.0791713961407492,0.4042078806550997
2026-02-23,ADI,"ANALOG DEVICES, INC.",Information Technology,355.15,355.12,-0.0001,0.3764,0.29491661,0.27629298329449803,-37.0,1,Sell,1.228245363766052,1.388741370154011,-2.685863874345549,341.13,372.37,317.49,407.45,262.81,389.53,-0.03947627762917072,0.04848655497677057,-0.10603970153456277,0.1472617203998312,-0.26000281571167105,0.09680416725327334
2026-02-23,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,67.69,71.68,0.0589,0.297,0.20627336,0.43983692319745016,29.0,1,Buy,1.1021897810218984,2.0024570024570036,-1.3810572687224671,64.95,70.71,63.62,75.84,55.15,76.77,-0.04047865268134132,0.04461515733490917,-0.0601270497857882,0.12040183188063236,-0.18525631555621214,0.13414093662283944
2026-02-23,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,205.73,238.6,0.1598,0.3414,0.27940721,0.22187254938768386,0.0,2,Neutral,1.5806831566548936,1.2547547547547564,29.905349794238944,197.24,219.15,185.75,230.8,203.3,278.4,-0.041267680941039164,0.06523112817770871,-0.09711758129587322,0.1218587469012784,-0.011811597725173706,0.3532299616001555
2026-02-23,ADSK,"AUTODESK, INC.",Information Technology,218.64,252.55,0.1551,0.5859,0.39205272,0.494441869960754,24.0,1,Neutral,1.1859649122807059,-1.2795755968169733,4.957233368532207,210.09,228.78,194.52,237.49,199.7,312.53,-0.03910537870471997,0.04637760702524707,-0.11031833150384185,0.08621478229052326,-0.08662641785583602,0.4294273691913648
2026-02-23,AEE,AMEREN ,Utilities,111.16,115.13,0.0357,0.2609,0.17696901,0.47426942152188123,-16.0,2,Neutral,1.1369193154034234,1.4253012048192775,-2.1641337386018233,107.07,115.81,102.86,122.99,96.92,117.74,-0.036793810723281806,0.041831594098596714,-0.0746671464555595,0.1064231738035264,-0.1281036344008636,0.05919395465994959
2026-02-23,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,132.03,134.15,0.0161,0.2116,0.20511452,0.031618824449873184,-17.0,2,Neutral,-1.2892057026476584,-1.0147313691507813,-3.147540983606554,125.7,136.94,120.32,143.57,110.91,138.74,-0.04794364917064298,0.03718851776111487,-0.08869196394758772,0.08740437779292587,-0.15996364462622137,0.05082178292812256
2026-02-23,AES,THE AES ,Utilities,16.26,16.1,-0.0098,0.3539,0.40611753,-0.1285773849752312,-45.0,3,Sell,2.6410256410256188,2.0232558139534835,-1.9648241206030175,15.87,17.29,15.4,18.0,12.35,18.25,-0.023985239852398643,0.06334563345633448,-0.052890528905289114,0.10701107011070099,-0.24046740467404681,0.12238622386223841
2026-02-23,AFL,AFLAC INC.,Financials,112.35,122.89,0.0938,0.1977,0.2386256,-0.1715054880951583,-5.0,4,Neutral,3.164383561643842,1.9589041095890467,1.7425506555423127,110.16,119.28,106.51,123.79,103.96,126.97,-0.019492656875834458,0.06168224299065428,-0.05198041833555844,0.10182465509568317,-0.0746773475745438,0.13012906097018262
2026-02-23,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,79.98,80.07,0.0011,0.2837,0.23876847,0.1881803321854012,-26.0,1,Sell,2.610294117647058,1.1525795828759606,-1.1339590443686014,78.62,83.53,70.87,90.48,66.69,91.7,-0.017004251062765707,0.04438609652413095,-0.11390347586896721,0.13128282070517638,-0.1661665416354089,0.14653663415853968
