Ticker,Ticker_name,Category,Date,daily_return_pct
SLV,ISHARES:SILVER TRUST,Commodities,2026-02-20,0.079
GLW,CORNING INC.,Information Technology,2026-02-20,0.0732
FIX,"COMFORT SYSTEMS USA, INC.",Industrials,2026-02-20,0.0646
GLATF,GLOBAL ATOMIC ,MR Discretion,2026-02-20,0.0545
CIEN,CIENA CORPORATION,Information Technology,2026-02-20,0.0519
EWY,ISHARES:MSCI S KOREA,Foreign,2026-02-20,0.0493
SNDK,SANDISK CORPORATION,Information Technology,2026-02-20,0.0465
EXR,EXTRA SPACE STORAGE INC.,Real Estate,2026-02-20,0.0456
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-02-20,0.0451
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-02-20,0.0427
