Ticker,Ticker_name,Category,Date,model_score
KMI,"KINDER MORGAN, INC.",Energy,2026-04-10,86.0
MCD,MCDONALD'S ,Consumer Discretionary,2026-04-10,86.0
GILD,"GILEAD SCIENCES, INC.",Health Care,2026-04-10,79.0
JNJ,JOHNSON & JOHNSON,Health Care,2026-04-10,77.0
CNP,"CENTERPOINT ENERGY, INC.",Utilities,2026-04-10,76.0
EXC,EXELON ,Utilities,2026-04-10,76.0
FE,FIRSTENERGY CORP.,Utilities,2026-04-10,76.0
LNT,ALLIANT ENERGY ,Utilities,2026-04-10,76.0
VTR,"VENTAS, INC.",Real Estate,2026-04-10,76.0
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2026-04-10,75.0
