Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,ChaseScore,model_score
USO,UNITED STATES OIL FUND,Commodities,2026-03-05,0.0642,0.0971,0.0089,0.0555,1.3131,1.3459,-17.0
DBC,INVESCO DB CM IDX,Commodities,2026-03-05,0.0296,0.0477,0.0021,0.0065,1.2013,1.2195,-22.0
CTAS,CINTAS ,Industrials,2026-03-05,0.0108,0.026,0.002,0.0064,0.7804,0.7957,-20.0
VICI,VICI PROPERTIES INC.,Real Estate,2026-03-05,-0.002,0.017,0.0012,0.0069,0.3329,0.352,35.0
GL,GLOBE LIFE INC.,Financials,2026-03-05,0.0038,0.0417,0.0003,0.0012,0.2993,0.3372,-10.0
VLO,VALERO ENERGY ,Energy,2026-03-05,0.0358,0.0554,0.0055,0.0229,0.3132,0.3328,-36.0
XOP,SPDR S&P OIL&GAS EXP,MR Discretion,2026-03-05,0.0295,0.034,0.0016,0.0082,0.3023,0.3069,-26.0
L,LOEWS ,Financials,2026-03-05,0.0023,0.0292,0.0025,0.0061,0.2687,0.2956,74.0
TIP,ISHARES:TIPS BD ETF,Bonds,2026-03-05,0.0019,0.0052,0.0002,0.0004,0.193,0.1963,9.0
PSX,PHILLIPS 66,Energy,2026-03-05,0.0116,0.0416,0.0018,0.0039,0.1347,0.1647,-19.0
