Ticker,Ticker_name,Category,Date,ST_Trend,LT_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,WatchScore
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2026-04-27,-0.0063,-0.0024,0.0147,0.0021,0.001,2.5011,2.505
SCHP,SCHWAB STR:US TIPS,Bonds,2026-04-27,0.0024,0.3062,0.0095,0.0,0.0004,1.1441,1.4478
APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,2026-04-27,0.0082,0.0089,0.0371,0.0015,0.0063,1.1951,1.1957
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,2026-04-27,0.0062,0.0569,0.0251,0.0003,0.001,0.8038,0.8545
BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,2026-04-27,-0.0063,0.0254,-0.0011,0.0011,0.0032,0.7851,0.8169
DVA,DAVITA INC.,Health Care,2026-04-27,0.0048,0.0096,0.1331,0.0044,0.002,0.7454,0.7502
EXC,EXELON ,Utilities,2026-04-27,-0.0203,0.0442,-0.0033,0.0008,0.0003,0.6145,0.679
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-04-27,-0.0306,0.0988,-0.0004,0.0021,0.0027,0.4047,0.5341
GL,GLOBE LIFE INC.,Financials,2026-04-27,0.015,0.0609,0.0372,0.0005,0.0004,0.4778,0.5237
GNRC,GENERAC HOLDINGS INC.,Industrials,2026-04-27,0.0349,0.0639,0.0477,0.0006,0.0009,0.473,0.502
