Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,LT_Trend,ST_Trend_Change,MT_Trend_Change,UpCycleScore
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2026-02-17,-0.2735,-0.1518,0.0195,0.0275,0.102,0.293
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-02-17,-0.1173,-0.0721,0.0513,0.0,0.005,0.1686
BTC=F,BITCOIN FUTURES,Futures,2026-02-17,-0.1289,-0.1202,0.0037,0.0012,0.0247,0.1327
FIX,"COMFORT SYSTEMS USA, INC.",Industrials,2026-02-17,0.0411,0.0894,0.1714,0.0003,0.0101,0.1302
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-02-17,0.0,0.0155,0.1155,0.0002,0.0059,0.1155
CIEN,CIENA CORPORATION,Information Technology,2026-02-17,0.0731,0.0936,0.1862,0.0019,0.0225,0.1132
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-02-17,0.0007,0.0589,0.1046,0.0046,0.0011,0.1039
UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,2026-02-17,0.0008,0.026,0.0895,0.001,0.0071,0.0887
KKR,KKR & CO. INC.,Financials,2026-02-17,-0.0744,-0.0451,0.0118,0.0016,0.001,0.0861
BK,THE BANK OF NEW YORK MELLON ,Financials,2026-02-17,-0.0072,0.0277,0.078,0.0009,0.0133,0.0853
