Ticker,Ticker_name,Category,Date,change_pct
Q,"QNITY ELECTRONICS, INC.",Information Technology,2026-03-19,0.9091
SNDK,SANDISK CORPORATION,Information Technology,2026-03-19,0.8361
VIX,CBOE MKT VOLATILITY IDX,Volatility,2026-03-19,0.6517
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-03-19,0.6363
GDXJ,VANECK:JR GOLD MINERS,Commodities,2026-03-19,0.6008
SLV,ISHARES:SILVER TRUST,Commodities,2026-03-19,0.5719
GDX,VANECK:GOLD MINERS,Commodities,2026-03-19,0.5559
NEM,NEWMONT ,Materials,2026-03-19,0.5003
APP,APPLOVIN CORP,Information Technology,2026-03-19,0.4713
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-03-19,0.4051
