Ticker,Ticker_name,Category,Date,Sharpe_Rank,previous_Sharpe_Rank,Sharpe_Rank_daily_change
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-04-14,84.7,85.9,-1.2000000000000028
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-04-14,81.5,82.7,-1.2000000000000028
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-04-14,73.2,76.4,-3.200000000000003
TIP,ISHARES:TIPS BD ETF,Bonds,2026-04-14,66.5,67.7,-1.2000000000000028
PFF,ISHARES:PREF AND INC SEC,Bonds,2026-04-14,64.9,60.9,4.000000000000007
SCHP,SCHWAB STR:US TIPS,Bonds,2026-04-14,64.9,64.5,0.4000000000000057
HYD,VANECK:HIGH YIELD MUNI,Bonds,2026-04-14,62.9,68.5,-5.600000000000001
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-04-14,62.9,66.1,-3.1999999999999957
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-04-14,56.9,59.7,-2.8000000000000043
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-04-14,53.4,56.5,-3.1000000000000014
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-04-14,48.2,51.4,-3.1999999999999957
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-04-14,45.4,50.0,-4.600000000000001
MUB,ISHARES:NATL MUNI BOND,Bonds,2026-04-14,42.3,43.5,-1.2000000000000028
DBA,INVESCO DB MS AGRI,Commodities,2026-04-14,80.0,61.7,18.299999999999997
USO,UNITED STATES OIL FUND,Commodities,2026-04-14,57.7,56.5,1.2000000000000028
SOYB,TEUCRIUM:SOYBEAN,Commodities,2026-04-14,56.5,23.2,33.3
CANE,TEUCRIUM:SUGAR,Commodities,2026-04-14,55.4,34.7,20.699999999999996
CPER,UNITED STATES COPPER IDX,Commodities,2026-04-14,54.2,58.5,-4.299999999999997
WEAT,TEUCRIUM:WHEAT,Commodities,2026-04-14,54.2,25.6,28.6
DBB,INVESCO DB MS BMTL,Commodities,2026-04-14,52.6,55.4,-2.799999999999997
URA,GLBL X URANIUM ETF,Commodities,2026-04-14,50.6,50.6,0.0
DBC,INVESCO DB CM IDX,Commodities,2026-04-14,46.2,39.9,6.300000000000004
GDX,VANECK:GOLD MINERS,Commodities,2026-04-14,45.0,41.5,3.5
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2026-04-14,44.4,41.9,2.5
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2026-04-14,42.3,10.1,32.199999999999996
GDXJ,VANECK:JR GOLD MINERS,Commodities,2026-04-14,37.9,35.3,2.6000000000000014
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-04-14,36.7,39.5,-2.799999999999997
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-04-14,35.9,29.2,6.699999999999999
SLV,ISHARES:SILVER TRUST,Commodities,2026-04-14,25.2,14.1,11.1
CORN,TEUCRIUM:CORN,Commodities,2026-04-14,22.4,6.2,16.2
GLD,SPDR GOLD,Commodities,2026-04-14,14.1,8.9,5.199999999999999
UNG,UNITED STATES NAT GAS,Commodities,2026-04-14,7.3,5.0,2.3
NFLX,"NETFLIX, INC.",Communication Services,2026-04-14,93.5,82.3,11.200000000000003
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-04-14,89.5,79.2,10.299999999999997
FOXA,FOX ,Communication Services,2026-04-14,85.9,83.5,2.4000000000000057
