Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-04-13,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,18.8,81.5,62.7
2026-04-13,AAPL,APPLE INC.,Information Technology,Information Technology,14.3,60.5,46.2
2026-04-13,ABBV,ABBVIE INC.,Health Care,Health Care,3.6,14.9,11.3
2026-04-13,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,7.5,61.7,54.2
2026-04-13,ABT,ABBOTT LABORATORIES,Health Care,Health Care,1.6,8.1,6.5
2026-04-13,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,15.1,77.2,62.1
2026-04-13,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,31.7,56.5,24.8
2026-04-13,ADBE,ADOBE INC.,Information Technology,Information Technology,49.6,58.1,8.5
2026-04-13,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,5.2,81.2,76.0
2026-04-13,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,1.2,15.3,14.1
2026-04-13,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,15.4,31.5,16.1
2026-04-13,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,14.7,21.2,6.5
2026-04-13,AEE,AMEREN ,Utilities,Utilities,-22.3,43.8,66.1
2026-04-13,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-19.8,41.1,60.9
2026-04-13,AES,THE AES ,Utilities,Utilities,11.5,83.1,71.6
2026-04-13,AFL,AFLAC INC.,Financials,Financials,20.3,79.2,58.9
2026-04-13,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,8.8,66.5,57.7
2026-04-13,AIZ,"ASSURANT, INC.",Financials,Financials,-1.2,60.1,61.3
2026-04-13,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,5.2,90.7,85.5
2026-04-13,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,4.4,12.1,7.7
2026-04-13,ALB,ALBEMARLE ,Materials,Materials,27.8,77.2,49.4
2026-04-13,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,22.7,67.7,45.0
2026-04-13,ALL,THE ALLSTATE ,Financials,Financials,9.7,77.8,68.1
2026-04-13,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,11.9,52.6,40.7
2026-04-13,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-2.7,66.9,69.6
2026-04-13,AMCR,AMCOR PLC,Materials,Materials,-3.2,59.3,62.5
2026-04-13,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,7.6,93.1,85.5
2026-04-13,AME,"AMETEK, INC.",Industrials,Industrials,9.1,84.7,75.6
2026-04-13,AMGN,AMGEN INC.,Health Care,Health Care,-2.0,16.1,18.1
2026-04-13,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,3.4,67.5,64.1
2026-04-13,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-10.3,51.0,61.3
2026-04-13,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,1.6,97.4,95.8
2026-04-13,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,9.5,74.8,65.3
2026-04-13,AON,AON PLC,Financials,Financials,10.3,65.3,55.0
2026-04-13,AOS,A. O. SMITH ,Industrials,Industrials,3.9,44.2,40.3
2026-04-13,APA,APA ,Energy,Energy,-1.2,72.0,73.2
2026-04-13,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,11.9,76.0,64.1
2026-04-13,APH,AMPHENOL ,Information Technology,Information Technology,4.7,47.0,42.3
2026-04-13,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,3.2,73.6,70.4
2026-04-13,APP,APPLOVIN CORP,Information Technology,Information Technology,12.1,30.8,18.7
2026-04-13,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-1.6,9.7,11.3
2026-04-13,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,14.1,33.7,19.6
2026-04-13,ARES,ARES MANAGEMENT CORP,Financials,Financials,3.2,64.9,61.7
2026-04-13,ASC,ARDMORE SHIPPING ,,MR Discretion,16.7,80.4,63.7
2026-04-13,ATO,ATMOS ENERGY ,Utilities,Utilities,-20.7,34.7,55.4
2026-04-13,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,10.1,69.6,59.5
2026-04-13,AVGO,BROADCOM INC.,Information Technology,Information Technology,20.6,85.5,64.9
2026-04-13,AVY,AVERY DENNISON ,Materials,Materials,4.8,51.8,47.0
2026-04-13,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,-24.2,16.9,41.1
2026-04-13,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,2.4,13.7,11.3
2026-04-13,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,18.2,81.5,63.3
2026-04-13,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,10.3,39.1,28.8
2026-04-13,BA,THE BOEING COMPANY,Industrials,Industrials,-0.4,67.7,68.1
2026-04-13,BAC,BANK OF AMERICA ,Financials,Financials,7.9,96.2,88.3
2026-04-13,BALL,BALL ,Materials,Materials,3.4,52.2,48.8
2026-04-13,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,19.9,64.9,45.0
2026-04-13,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-17.4,41.9,59.3
2026-04-13,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,3.5,32.7,29.2
2026-04-13,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,7.1,62.5,55.4
2026-04-13,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-2.3,93.1,95.4
2026-04-13,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,2.8,28.4,25.6
2026-04-13,BIIB,BIOGEN INC.,Health Care,Health Care,11.5,21.2,9.7
2026-04-13,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,5.2,87.5,82.3
2026-04-13,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,4.4,67.3,62.9
2026-04-13,BKR,BAKER HUGHES COMPANY,Energy,Energy,6.3,83.5,77.2
2026-04-13,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,1.6,56.2,54.6
2026-04-13,BLK,"BLACKROCK, INC.",Financials,Financials,11.5,90.7,79.2
2026-04-13,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,-7.9,40.7,48.6
2026-04-13,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,17.1,23.6,6.5
2026-04-13,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,6.0,27.6,21.6
2026-04-13,BRO,"BROWN & BROWN, INC.",Financials,Financials,17.6,70.2,52.6
2026-04-13,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,7.6,31.2,23.6
2026-04-13,BTC=F,BITCOIN FUTURES,,Futures,2.5,71.2,68.7
2026-04-13,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-1.4,23.4,24.8
2026-04-13,BTU,PEABODY ENERGY ,,MR Discretion,0.8,1.0,0.2
2026-04-13,BX,BLACKSTONE INC,Financials,Financials,2.8,85.9,83.1
2026-04-13,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,9.3,77.6,68.3
2026-04-13,C,CITIGROUP INC.,Financials,Financials,4.9,85.1,80.2
2026-04-13,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,-23.1,19.2,42.3
2026-04-13,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,1.2,28.4,27.2
2026-04-13,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,2.0,12.9,10.9
2026-04-13,CANE,TEUCRIUM:SUGAR,,Commodities,-4.0,34.7,38.7
2026-04-13,CARR,CARRIER GLOBAL ,Industrials,Industrials,5.9,81.5,75.6
2026-04-13,CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,Consumer Staples,7.2,76.4,69.2
2026-04-13,CAT,CATERPILLAR INC.,Industrials,Industrials,4.7,60.1,55.4
2026-04-13,CB,CHUBB LTD,Financials,Financials,7.1,48.2,41.1
2026-04-13,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,8.4,53.0,44.6
2026-04-13,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,6.7,87.5,80.8
2026-04-13,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,-6.0,59.3,65.3
2026-04-13,CCJ,CAMECO ,,MR Discretion,21.9,55.8,33.9
2026-04-13,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,1.2,74.0,72.8
2026-04-13,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,41.7,53.8,12.1
2026-04-13,CDW,CDW ,Information Technology,Information Technology,2.0,97.0,95.0
2026-04-13,CEG,CONSTELLATION ENERGY,Utilities,Utilities,3.1,31.9,28.8
2026-04-13,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,4.4,27.2,22.8
2026-04-13,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,10.0,92.3,82.3
2026-04-13,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,9.1,34.7,25.6
2026-04-13,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,6.8,26.0,19.2
2026-04-13,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,6.3,74.4,68.1
2026-04-13,CI,THE CIGNA GROUP,Health Care,Health Care,7.1,74.0,66.9
