Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-02-19,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-23.4,14.9,38.3
2026-02-19,AAPL,APPLE INC.,Information Technology,Information Technology,42.0,60.1,18.1
2026-02-19,ABBV,ABBVIE INC.,Health Care,Health Care,41.9,65.3,23.4
2026-02-19,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,7.8,31.0,23.2
2026-02-19,ABT,ABBOTT LABORATORIES,Health Care,Health Care,19.7,26.2,6.5
2026-02-19,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,31.7,83.5,51.8
2026-02-19,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,-44.9,6.9,51.8
2026-02-19,ADBE,ADOBE INC.,Information Technology,Information Technology,15.8,18.8,3.0
2026-02-19,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-2.0,85.1,87.1
2026-02-19,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-48.8,48.6,97.4
2026-02-19,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-25.4,2.6,28.0
2026-02-19,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,14.7,22.4,7.7
2026-02-19,AEE,AMEREN ,Utilities,Utilities,4.0,80.0,76.0
2026-02-19,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,14.3,86.3,72.0
2026-02-19,AES,THE AES ,Utilities,Utilities,33.0,91.5,58.5
2026-02-19,AFL,AFLAC INC.,Financials,Financials,20.6,76.0,55.4
2026-02-19,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,86.9,95.4,8.5
2026-02-19,AIZ,"ASSURANT, INC.",Financials,Financials,-15.5,22.4,37.9
2026-02-19,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-17.0,18.5,35.5
2026-02-19,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,6.0,91.1,85.1
2026-02-19,ALB,ALBEMARLE ,Materials,Materials,-60.7,17.3,78.0
2026-02-19,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,8.3,72.8,64.5
2026-02-19,ALL,THE ALLSTATE ,Financials,Financials,46.9,66.1,19.2
2026-02-19,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,-42.0,30.4,72.4
2026-02-19,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-18.6,63.3,81.9
2026-02-19,AMCR,AMCOR PLC,Materials,Materials,21.8,98.6,76.8
2026-02-19,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-47.6,12.5,60.1
2026-02-19,AME,"AMETEK, INC.",Industrials,Industrials,-19.8,76.4,96.2
2026-02-19,AMGN,AMGEN INC.,Health Care,Health Care,9.7,71.8,62.1
2026-02-19,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-50.0,31.5,81.5
2026-02-19,AMT,AMERICAN TOWER ,Real Estate,Real Estate,6.3,73.6,67.3
2026-02-19,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-50.0,10.5,60.5
2026-02-19,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-5.6,58.5,64.1
2026-02-19,AON,AON PLC,Financials,Financials,2.4,47.0,44.6
2026-02-19,AOS,A. O. SMITH ,Industrials,Industrials,-9.1,78.8,87.9
2026-02-19,APA,APA ,Energy,Energy,7.9,76.0,68.1
2026-02-19,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-11.3,79.4,90.7
2026-02-19,APH,AMPHENOL ,Information Technology,Information Technology,-17.5,20.8,38.3
2026-02-19,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,-7.9,12.5,20.4
2026-02-19,APP,APPLOVIN CORP,Information Technology,Information Technology,19.0,22.4,3.4
2026-02-19,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,6.1,44.0,37.9
2026-02-19,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-44.8,37.9,82.7
2026-02-19,ARES,ARES MANAGEMENT CORP,Financials,Financials,-2.0,20.4,22.4
2026-02-19,ASC,ARDMORE SHIPPING ,,MR Discretion,0.4,96.2,95.8
2026-02-19,ATO,ATMOS ENERGY ,Utilities,Utilities,63.1,90.3,27.2
2026-02-19,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,15.9,63.5,47.6
2026-02-19,AVGO,BROADCOM INC.,Information Technology,Information Technology,23.4,44.6,21.2
2026-02-19,AVY,AVERY DENNISON ,Materials,Materials,20.2,87.9,67.7
2026-02-19,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,21.5,54.6,33.1
2026-02-19,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,-2.4,8.5,10.9
2026-02-19,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-0.8,20.4,21.2
2026-02-19,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,-32.5,52.6,85.1
2026-02-19,BA,THE BOEING COMPANY,Industrials,Industrials,-58.5,13.1,71.6
2026-02-19,BAC,BANK OF AMERICA ,Financials,Financials,27.8,49.0,21.2
2026-02-19,BALL,BALL ,Materials,Materials,-3.6,86.7,90.3
2026-02-19,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-4.2,74.6,78.8
2026-02-19,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,13.5,58.5,45.0
2026-02-19,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,-52.7,30.0,82.7
2026-02-19,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,-13.5,69.2,82.7
2026-02-19,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-2.4,74.0,76.4
2026-02-19,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,-7.9,89.9,97.8
2026-02-19,BIIB,BIOGEN INC.,Health Care,Health Care,28.9,82.3,53.4
2026-02-19,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,-22.2,22.0,44.2
2026-02-19,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-5.1,1.4,6.5
2026-02-19,BKR,BAKER HUGHES COMPANY,Energy,Energy,-5.5,92.7,98.2
2026-02-19,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-58.8,20.8,79.6
2026-02-19,BLK,"BLACKROCK, INC.",Financials,Financials,-44.5,19.6,64.1
2026-02-19,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,31.7,95.8,64.1
2026-02-19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,13.4,19.6,6.2
2026-02-19,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,71.8,76.4,4.6
2026-02-19,BRO,"BROWN & BROWN, INC.",Financials,Financials,5.9,21.2,15.3
2026-02-19,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,-23.0,16.5,39.5
2026-02-19,BTC=F,BITCOIN FUTURES,,Futures,-17.5,11.7,29.2
2026-02-19,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-4.4,61.3,65.7
2026-02-19,BTU,PEABODY ENERGY ,,MR Discretion,-72.2,10.1,82.3
2026-02-19,BX,BLACKSTONE INC,Financials,Financials,-24.6,4.2,28.8
2026-02-19,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,8.3,34.7,26.4
2026-02-19,C,CITIGROUP INC.,Financials,Financials,10.3,40.3,30.0
2026-02-19,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,-3.6,94.6,98.2
2026-02-19,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-7.3,54.0,61.3
2026-02-19,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,-0.8,83.1,83.9
2026-02-19,CANE,TEUCRIUM:SUGAR,,Commodities,8.0,26.8,18.8
2026-02-19,CARR,CARRIER GLOBAL ,Industrials,Industrials,-15.6,78.8,94.4
2026-02-19,CAT,CATERPILLAR INC.,Industrials,Industrials,-3.2,71.6,74.8
2026-02-19,CB,CHUBB LTD,Financials,Financials,57.0,93.3,36.3
2026-02-19,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,-15.5,62.5,78.0
2026-02-19,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,-53.9,14.9,68.8
2026-02-19,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,14.3,51.4,37.1
2026-02-19,CCJ,CAMECO ,,MR Discretion,-67.1,24.0,91.1
2026-02-19,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,24.2,70.0,45.8
2026-02-19,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,13.7,38.5,24.8
2026-02-19,CDW,CDW ,Information Technology,Information Technology,29.6,63.3,33.7
2026-02-19,CEG,CONSTELLATION ENERGY,Utilities,Utilities,36.5,44.2,7.7
2026-02-19,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,-18.3,74.0,92.3
2026-02-19,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,-25.8,37.1,62.9
2026-02-19,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,-4.0,95.8,99.8
2026-02-19,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,-64.7,35.1,99.8
2026-02-19,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,41.2,95.8,54.6
2026-02-19,CI,THE CIGNA GROUP,Health Care,Health Care,29.7,71.2,41.5
2026-02-19,CIEN,CIENA CORPORATION,Information Technology,Information Technology,43.4,84.3,40.9
2026-02-19,CINF,CINCINNATI FINANCIAL ,Financials,Financials,10.7,38.3,27.6
2026-02-19,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,-5.5,93.5,99.0
2026-02-19,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,-7.5,89.5,97.0
2026-02-19,CMBT,CMB.TECH NV,,MR Discretion,-6.3,93.5,99.8
2026-02-19,CMCSA,COMCAST ,Communication Services,Communication Services,35.0,92.3,57.3
2026-02-19,CME,CME GROUP INC.,Financials,Financials,14.1,98.0,83.9
2026-02-19,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,-37.3,36.3,73.6
2026-02-19,CMI,CUMMINS INC.,Industrials,Industrials,-59.5,30.8,90.3
2026-02-19,CMRE,COSTAMARE INC.,,MR Discretion,-7.2,58.9,66.1
2026-02-19,CMS,CMS ENERGY ,Utilities,Utilities,14.3,86.3,72.0
2026-02-19,CNC,CENTENE ,Health Care,Health Care,-21.4,37.5,58.9
2026-02-19,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,27.8,96.6,68.8
2026-02-19,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,-69.9,8.5,78.4
2026-02-19,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,-6.0,8.1,14.1
2026-02-19,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,0.8,22.0,21.2
2026-02-19,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,-24.2,74.0,98.2
2026-02-19,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,16.7,60.9,44.2
2026-02-19,COP,CONOCOPHILLIPS,Energy,Energy,2.4,99.0,96.6
2026-02-19,COR,"CENCORA, INC.",Health Care,Health Care,-36.9,41.5,78.4
2026-02-19,CORN,TEUCRIUM:CORN,,Commodities,36.3,83.3,47.0
2026-02-19,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,-29.8,59.3,89.1
2026-02-19,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,5.9,81.5,75.6
2026-02-19,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,Consumer Staples,6.0,78.8,72.8
2026-02-19,CPER,UNITED STATES COPPER IDX,,Commodities,-9.5,25.6,35.1
2026-02-19,CPRT,"COPART, INC.",Industrials,Industrials,-35.3,37.1,72.4
2026-02-19,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,9.7,59.7,50.0
2026-02-19,CRESY,CRESUD INC.,,MR Discretion,-45.6,26.8,72.4
2026-02-19,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,29.4,60.9,31.5
2026-02-19,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,-55.1,2.2,57.3
2026-02-19,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,12.3,16.5,4.2
2026-02-19,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,11.9,41.1,29.2
2026-02-19,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,7.6,53.0,45.4
2026-02-19,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,-21.5,6.9,28.4
2026-02-19,CSX,CSX ,Industrials,Industrials,38.9,98.2,59.3
2026-02-19,CTAS,CINTAS ,Industrials,Industrials,-2.4,62.1,64.5
2026-02-19,CTRA,COTERRA ENERGY INC.,Energy,Energy,2.7,95.8,93.1
2026-02-19,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,-38.1,6.5,44.6
2026-02-19,CTVA,"CORTEVA, INC.",Materials,Materials,-4.4,74.0,78.4
2026-02-19,CVNA,CARVANA CO.,Consumer Discretionary,Consumer Discretionary,-18.2,4.2,22.4
2026-02-19,CVS,CVS HEALTH ,Health Care,Health Care,4.8,26.0,21.2
2026-02-19,CVX,CHEVRON ,Energy,Energy,-3.2,95.0,98.2
2026-02-19,D,"DOMINION ENERGY, INC.",Utilities,Utilities,21.5,92.7,71.2
2026-02-19,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,15.9,38.3,22.4
2026-02-19,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,7.6,14.9,7.3
2026-02-19,DBA,INVESCO DB MS AGRI,,Commodities,17.8,86.3,68.5
2026-02-19,DBB,INVESCO DB MS BMTL,,Commodities,-27.7,17.3,45.0
2026-02-19,DBC,INVESCO DB CM IDX,,Commodities,-36.9,59.7,96.6
2026-02-19,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,-2.6,85.5,88.1
2026-02-19,DDOG,"DATADOG, INC.",Information Technology,Information Technology,4.3,44.6,40.3
2026-02-19,DE,DEERE & COMPANY,Industrials,Industrials,2.3,95.4,93.1
2026-02-19,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,0.0,77.6,77.6
2026-02-19,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,38.9,60.5,21.6
2026-02-19,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,-23.8,46.2,70.0
2026-02-19,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,3.2,85.5,82.3
2026-02-19,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,1.6,62.5,60.9
2026-02-19,DHR,DANAHER ,Health Care,Health Care,-14.6,5.0,19.6
2026-02-19,DHT,"DHT HOLDINGS, INC.",,MR Discretion,11.1,99.8,88.7
2026-02-19,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,-13.1,36.7,49.8
2026-02-19,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,-11.9,39.1,51.0
2026-02-19,DJI,DOW JONES INDUSTRIAL AVG INDEX,,Indices,-11.9,35.9,47.8
2026-02-19,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,6.0,91.9,85.9
2026-02-19,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,11.5,34.3,22.8
2026-02-19,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,-51.6,35.9,87.5
2026-02-19,DOV,DOVER ,Industrials,Industrials,35.7,91.5,55.8
2026-02-19,DOW,DOW INC.,Materials,Materials,-15.8,79.6,95.4
2026-02-19,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,-18.7,31.9,50.6
2026-02-19,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,-21.8,55.8,77.6
2026-02-19,DTE,DTE ENERGY COMPANY,Utilities,Utilities,0.4,76.4,76.0
2026-02-19,DUK,DUKE ENERGY ,Utilities,Utilities,3.2,89.9,86.7
2026-02-19,DVA,DAVITA INC.,Health Care,Health Care,46.8,97.4,50.6
2026-02-19,DVN,DEVON ENERGY ,Energy,Energy,13.1,96.2,83.1
2026-02-19,DXCM,"DEXCOM, INC.",Health Care,Health Care,-31.7,53.4,85.1
2026-02-19,DXY,US DOLLAR INDEX,USD,Indices,16.7,49.4,32.7
2026-02-19,EA,ELECTRONIC ARTS INC.,Communication Services,Communication Services,6.7,10.1,3.4
2026-02-19,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,-44.8,12.9,57.7
2026-02-19,EC,ECOPETROL SA,,MR Discretion,-55.2,36.3,91.5
2026-02-19,ECH,ISHARES:MSCI CHILE,,Foreign,-62.7,15.7,78.4
2026-02-19,ECL,ECOLAB INC.,Materials,Materials,-8.4,84.3,92.7
