Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-03-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,0.4,8.9,8.5
2026-03-16,AAPL,APPLE INC.,Information Technology,Information Technology,33.7,35.1,1.4
2026-03-16,ABBV,ABBVIE INC.,Health Care,Health Care,-39.9,10.9,50.8
2026-03-16,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-25.4,72.0,97.4
2026-03-16,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-0.4,36.7,37.1
2026-03-16,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-86.5,0.6,87.1
2026-03-16,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,-41.1,32.3,73.4
2026-03-16,ADBE,ADOBE INC.,Information Technology,Information Technology,-31.7,53.8,85.5
2026-03-16,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-31.8,11.3,43.1
2026-03-16,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,36.5,47.0,10.5
2026-03-16,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,4.4,64.9,60.5
2026-03-16,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,72.3,80.8,8.5
2026-03-16,AEE,AMEREN ,Utilities,Utilities,38.1,59.3,21.2
2026-03-16,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,48.0,61.3,13.3
2026-03-16,AES,THE AES ,Utilities,Utilities,-62.3,9.3,71.6
2026-03-16,AFL,AFLAC INC.,Financials,Financials,-59.3,1.8,61.1
2026-03-16,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-64.2,29.6,93.8
2026-03-16,AIZ,"ASSURANT, INC.",Financials,Financials,-41.3,58.5,99.8
2026-03-16,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-14.3,71.2,85.5
2026-03-16,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-29.7,28.8,58.5
2026-03-16,ALB,ALBEMARLE ,Materials,Materials,-52.0,22.8,74.8
2026-03-16,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-50.0,13.7,63.7
2026-03-16,ALL,THE ALLSTATE ,Financials,Financials,3.2,50.6,47.4
2026-03-16,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,-20.6,0.2,20.8
2026-03-16,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-4.0,25.2,29.2
2026-03-16,AMCR,AMCOR PLC,Materials,Materials,-54.4,0.2,54.6
2026-03-16,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-18.6,30.0,48.6
2026-03-16,AME,"AMETEK, INC.",Industrials,Industrials,-75.2,8.1,83.3
2026-03-16,AMGN,AMGEN INC.,Health Care,Health Care,15.7,39.7,24.0
2026-03-16,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-80.6,12.5,93.1
2026-03-16,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-18.3,35.9,54.2
2026-03-16,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,47.1,78.8,31.7
2026-03-16,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-23.8,27.6,51.4
2026-03-16,AON,AON PLC,Financials,Financials,0.0,71.6,71.6
2026-03-16,AOS,A. O. SMITH ,Industrials,Industrials,-64.3,0.2,64.5
2026-03-16,APA,APA ,Energy,Energy,69.4,97.4,28.0
2026-03-16,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,26.2,70.4,44.2
2026-03-16,APH,AMPHENOL ,Information Technology,Information Technology,-8.1,3.0,11.1
2026-03-16,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,-85.8,7.7,93.5
2026-03-16,APP,APPLOVIN CORP,Information Technology,Information Technology,17.9,64.1,46.2
2026-03-16,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-24.6,1.8,26.4
2026-03-16,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-9.1,29.6,38.7
2026-03-16,ARES,ARES MANAGEMENT CORP,Financials,Financials,-42.4,4.6,47.0
2026-03-16,ASC,ARDMORE SHIPPING ,,MR Discretion,46.0,49.8,3.8
2026-03-16,ATO,ATMOS ENERGY ,Utilities,Utilities,65.5,85.9,20.4
2026-03-16,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,-60.8,7.7,68.5
2026-03-16,AVGO,BROADCOM INC.,Information Technology,Information Technology,21.0,34.3,13.3
