Ticker,Ticker_name,Category,Date,wtd_return_pct
WTW,WILLIS TOWERS WATSON,Financials,2026-02-11,-0.1513
AJG,ARTHUR J. GALLAGHER & CO.,Financials,2026-02-11,-0.1501
BDX,"BECTON, DICKINSON AND COMPANY",Health Care,2026-02-11,-0.14
WAT,WATERS ,Health Care,2026-02-11,-0.1366
CRL,CHARLES RIVER LABORATORIES,Health Care,2026-02-11,-0.1228
CBRE,"CBRE GROUP, INC.",Real Estate,2026-02-11,-0.1189
WDAY,"WORKDAY, INC.",Information Technology,2026-02-11,-0.1128
AIZ,"ASSURANT, INC.",Financials,2026-02-11,-0.1122
SPGI,S&P GLOBAL INC.,Financials,2026-02-11,-0.1105
XYL,XYLEM INC.,Industrials,2026-02-11,-0.108
