Ticker,Ticker_name,Category,Date,volume
NVDA,NVIDIA ,Information Technology,2026-03-04,564.93
XLE,SEL SECTOR:ENERGY SPDR,Sector & Style ETFs,2026-03-04,361.14
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-03-04,286.64
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2026-03-04,271.66
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-03-04,251.15
QQQ,INVESCO QQQ TRUST 1,Sector & Style ETFs,2026-03-04,243.22
INTC,INTEL ,Information Technology,2026-03-04,241.3
SLV,ISHARES:SILVER TRUST,Commodities,2026-03-04,225.63
XLF,SEL SECTOR:FINL S SPDR,Sector & Style ETFs,2026-03-04,216.32
PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,2026-03-04,200.21
