Ticker,Ticker_name,Category,Date,model_score_wtd_change,current_model_score,previous_model_score
CPRT,"COPART, INC.",Industrials,2026-02-23,84.0,28.0,-56.0
ERIE,ERIE INDEMNITY COMPANY,Financials,2026-02-23,84.0,3.0,-81.0
NQ=F,NASDAQ 100 FUTURES,Futures,2026-02-23,72.0,68.0,-4.0
PKG,PACKAGING  OF AMERICA,Materials,2026-02-23,72.0,55.0,-17.0
FAST,FASTENAL COMPANY,Industrials,2026-02-23,71.0,34.0,-37.0
PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,2026-02-23,71.0,-9.0,-80.0
MTUM,ISHARES:MSCI USA MOM FCT,Sector & Style ETFs,2026-02-23,69.0,47.0,-22.0
EWI,ISHARES:MSCI ITALY,Foreign,2026-02-23,66.0,74.0,8.0
SOYB,TEUCRIUM:SOYBEAN,Commodities,2026-02-23,64.0,6.0,-58.0
MA,MASTERCARD INC..,Financials,2026-02-23,60.0,38.0,-22.0
