Ticker,Ticker_name,Category,Date,mtd_return_pct
AES,THE AES ,Utilities,2026-03-09,-0.1788
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-03-09,-0.1717
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2026-03-09,-0.1646
CCL,CARNIVAL CORP,Consumer Discretionary,2026-03-09,-0.1636
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2026-03-09,-0.1538
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-03-09,-0.1454
GLW,CORNING INC.,Information Technology,2026-03-09,-0.1418
UPS,"UNITED PARCEL SERVICE, INC.",Industrials,2026-03-09,-0.1382
BF.B,BROWN-FORMAN ,Consumer Staples,2026-03-09,-0.1379
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-03-09,-0.1348
