Ticker,Ticker_name,Category,Date,model_score_mtd_change,current_model_score,previous_model_score
EMR,EMERSON ELECTRIC CO.,Industrials,2026-02-17,126.0,47.0,-79.0
CRESY,CRESUD INC.,MR Discretion,2026-02-17,120.0,71.0,-49.0
ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,2026-02-17,119.0,66.0,-53.0
LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,2026-02-17,116.0,33.0,-83.0
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,2026-02-17,110.0,56.0,-54.0
SPHB,INVESCO S&P500 HI BE,Sector & Style ETFs,2026-02-17,110.0,65.0,-45.0
CCJ,CAMECO ,MR Discretion,2026-02-17,103.0,37.0,-66.0
GGB,GERDAU SA,MR Discretion,2026-02-17,103.0,69.0,-34.0
URNM,SPROTT URANIUM MINERS,MR Discretion,2026-02-17,102.0,42.0,-60.0
MSCI,MSCI INC.,Financials,2026-02-17,100.0,0.0,-100.0
