Ticker,Ticker_name,Category,Date,qtd_return_pct
INTC,INTEL ,Information Technology,2026-05-06,1.5608
SNDK,SANDISK CORPORATION,Information Technology,2026-05-06,1.2193
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2026-05-06,1.0714
STX,SEAGATE TECHNOLOGY HOLDINGS,Information Technology,2026-05-06,1.0074
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2026-05-06,0.9731
WDC,WESTERN DIGITAL ,Information Technology,2026-05-06,0.7862
ON,ON SEMICONDUCTOR ,Information Technology,2026-05-06,0.7082
CNC,CENTENE ,Health Care,2026-05-06,0.69
MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,2026-05-06,0.5929
NXPI,NXP SEMICONDUCTORS NV,Information Technology,2026-05-06,0.542
