Ticker,Ticker_name,Category,Date,model_score_qtd_change,current_model_score,previous_model_score
MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,2026-03-25,142.0,58.0,-84.0
STT,STATE STREET ,Financials,2026-03-25,123.0,57.0,-66.0
CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,2026-03-25,115.0,74.0,-41.0
BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,2026-03-25,114.0,44.0,-70.0
HBAN,HUNTINGTON BANCSHARES INC.,Financials,2026-03-25,106.0,49.0,-57.0
SCHW,THE CHARLES SCHWAB ,Financials,2026-03-25,106.0,45.0,-61.0
ELV,"ELEVANCE HEALTH, INC.",Health Care,2026-03-25,105.0,75.0,-30.0
EWM,ISHARES:MSCI MALAYSIA,Foreign,2026-03-25,104.0,84.0,-20.0
CSX,CSX ,Industrials,2026-03-25,103.0,62.0,-41.0
OMC,OMNICOM GROUP INC.,Communication Services,2026-03-25,102.0,11.0,-91.0
