Ticker,Ticker_name,Category,Date,model_score_day_change,current_model_score,previous_model_score
A,"AGILENT TECHNOLOGIES, INC.",Health Care,2026-02-13,81.0,63.0,-18.0
NVR,"NVR, INC.",Consumer Discretionary,2026-02-13,77.0,26.0,-51.0
STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,2026-02-13,65.0,-2.0,-67.0
WFC,WELLS FARGO & COMPANY,Financials,2026-02-13,54.0,62.0,8.0
XLF,SEL SECTOR:FINL S SPDR,Sector & Style ETFs,2026-02-13,54.0,28.0,-26.0
APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,2026-02-13,53.0,28.0,-25.0
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,2026-02-13,53.0,0.0,-53.0
BRO,"BROWN & BROWN, INC.",Financials,2026-02-13,51.0,-5.0,-56.0
HPQ,HP INC.,Information Technology,2026-02-13,51.0,44.0,-7.0
ROKU,"ROKU, INC.",MR Discretion,2026-02-13,51.0,44.0,-7.0
