Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-04-23,LITE,LUMENTUM HOLDINGS INC.,873.6,0.0438,819.22,1002.43,2.369069510849576,77.0,0.0
2026-04-23,TAGS,TEUCRIUM:AGRICULTURAL,24.23,-0.0041,23.31,24.66,-2.139534883720936,72.0,21.0
2026-04-23,HCA,"HCA HEALTHCARE, INC.",471.34,0.0003,456.17,503.69,2.1324983520105545,71.0,53.0
2026-04-23,GLW,CORNING INC.,168.76,0.02,159.35,186.61,1.8969181721572825,66.0,0.0
2026-04-23,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,83.22,0.0149,81.1,87.59,2.061320754716979,64.0,23.0
2026-04-23,IBKR,"INTERACTIVE BROKERS GROUP, INC.",78.11,-0.019,78.52,87.93,,-74.0,-46.0
2026-04-23,DLR,"DIGITAL REALTY TRUST, INC.",200.86,-0.002,200.76,213.75,128.89999999997056,-77.0,0.0
2026-04-23,RSP,INVESCO S&P500 EWGHT,202.46,-0.0004,200.67,210.38,4.424581005586535,-80.0,-27.0
2026-04-23,EWN,ISHARES:MSCI NETHERLANDS,63.15,-0.003,62.55,67.53,7.299999999999987,-84.0,-21.0
2026-04-23,BF.B,BROWN-FORMAN ,28.53,-0.0077,28.03,31.61,6.159999999999997,-86.0,0.0
