Date,Ticker,Ticker_name,Category,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-04-01,EDV,VANGUARD EXT DUR T;ETF,Bonds,64.95,-0.0029,62.71,66.31,-1.647058823529414,53.0,0.0
2026-04-01,HYD,VANECK:HIGH YIELD MUNI,Bonds,50.14,0.0032,48.73,50.88,-1.9054054054054053,92.0,59.0
2026-04-01,HYG,ISHARES:IBOXX $HY CORP,Bonds,79.56,0.0095,77.79,80.05,-3.612244897959213,3.0,-59.0
2026-04-01,IEF,ISHARES:7-10 TRS BD ETF,Bonds,95.44,0.0018,93.08,96.6,-2.0344827586206953,62.0,29.0
2026-04-01,JNK,SPDR BBG HIGH YIELD BD,Bonds,95.72,0.0101,93.68,96.23,-3.9999999999999445,3.0,-59.0
2026-04-01,LQD,ISHARES:IBOXX $IG CORP,Bonds,108.99,0.0063,106.36,109.74,-3.5066666666666606,47.0,14.0
2026-04-01,MUB,ISHARES:NATL MUNI BOND,Bonds,106.15,0.0019,104.23,107.04,-2.1573033707865172,62.0,29.0
2026-04-01,PFF,ISHARES:PREF AND INC SEC,Bonds,30.32,0.0066,29.48,30.79,-1.7872340425531954,64.0,28.0
2026-04-01,SCHP,SCHWAB STR:US TIPS,Bonds,26.61,0.0011,26.1,26.9,-1.7586206896551708,39.0,10.0
2026-04-01,SHY,ISHARES:1-3 TRS BD ETF,Bonds,82.57,0.0008,81.38,83.41,-1.4166666666666583,36.0,-11.0
2026-04-01,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,103.43,0.0005,101.66,104.71,-1.3828125000000222,-3.0,-6.0
2026-04-01,TIP,ISHARES:TIPS BD ETF,Bonds,110.36,0.0001,108.28,111.58,-1.7049180327868854,18.0,-29.0
2026-04-01,TLT,ISHARES:20+ TRS BD ETF,Bonds,86.69,-0.001,84.19,88.05,-1.8382352941176479,62.0,0.0
2026-04-01,CANE,TEUCRIUM:SUGAR,Commodities,10.44,-0.0038,10.38,11.12,11.33333333333357,-35.0,0.0
2026-04-01,COMT,ISHARES:GSCI COMM DYN RS,Commodities,33.81,-0.0146,32.66,35.65,1.599999999999989,-14.0,0.0
2026-04-01,CORN,TEUCRIUM:CORN,Commodities,18.4,0.006,18.01,19.02,1.5897435897436045,17.0,0.0
2026-04-01,CPER,UNITED STATES COPPER IDX,Commodities,34.43,0.025,32.12,34.46,-76.99999999999716,41.0,34.0
2026-04-01,DBA,INVESCO DB MS AGRI,Commodities,27.32,0.0074,26.88,27.65,-1.3333333333333441,-35.0,-5.0
