Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-03-26,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,25.78,0.1886,19.86,27.06,-4.62500000000001,-2.0,-28.0
2026-03-26,GLW,CORNING INC.,146.35,0.1747,114.36,172.63,-1.2172754946727546,61.0,32.0
2026-03-26,SMCI,"SUPER MICRO COMPUTER, INC.",24.05,0.1715,15.79,32.23,-1.0097799511002452,-2.0,57.0
2026-03-26,DELL,DELL TECHNOLOGIES INC.,184.01,0.1671,139.88,205.92,-2.014148790506618,-43.0,25.0
2026-03-26,ALB,ALBEMARLE ,181.39,0.1576,148.62,200.89,-1.6805128205128195,62.0,15.0
2026-03-26,VRSK,"VERISK ANALYTICS, INC.",185.05,-0.0828,158.99,233.34,1.8530314658480425,-16.0,86.0
2026-03-26,COIN,"COINBASE GLOBAL, INC.",181.1,-0.083,151.32,231.66,1.6977837474815312,-48.0,15.0
2026-03-26,TTD,"THE TRADE DESK, INC.",21.97,-0.0888,18.42,29.35,2.0788732394366223,-55.0,-1.0
2026-03-26,MU,"MICRON TECHNOLOGY, INC.",382.09,-0.0965,372.3,528.42,14.946884576098114,-8.0,-60.0
2026-03-26,EL,THE ESTEE LAUDER COMPANIES INC.,73.11,-0.1491,64.44,97.68,2.8339100346020762,-26.0,-30.0
