Date,Ticker,Ticker_name,Category,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-04-07,EDV,VANGUARD EXT DUR T;ETF,Bonds,64.71,-0.0005,59.58,70.01,1.0331384015594574,39.0,9.0
2026-04-07,HYD,VANECK:HIGH YIELD MUNI,Bonds,50.65,0.0014,47.46,52.9,-1.4177777777777767,-17.0,0.0
2026-04-07,HYG,ISHARES:IBOXX $HY CORP,Bonds,79.7,0.0018,73.21,84.11,-1.471655328798189,-44.0,-47.0
2026-04-07,IEF,ISHARES:7-10 TRS BD ETF,Bonds,95.01,-0.0026,89.04,101.36,1.0636515912897815,39.0,13.0
2026-04-07,JNK,SPDR BBG HIGH YIELD BD,Bonds,95.91,0.002,88.18,100.91,-1.545999999999998,-19.0,0.0
2026-04-07,LQD,ISHARES:IBOXX $IG CORP,Bonds,108.95,-0.0016,100.11,116.83,-1.1218274111675137,-3.0,0.0
2026-04-07,MUB,ISHARES:NATL MUNI BOND,Bonds,106.45,-0.0004,99.16,113.54,-1.0282087447108608,30.0,-19.0
2026-04-07,PFF,ISHARES:PREF AND INC SEC,Bonds,30.5,0.0023,28.58,31.84,-1.4328358208955239,18.0,-5.0
2026-04-07,SCHP,SCHWAB STR:US TIPS,Bonds,26.67,-0.0004,25.64,27.87,1.1650485436893183,39.0,9.0
2026-04-07,SHY,ISHARES:1-3 TRS BD ETF,Bonds,82.28,-0.001,77.9,86.3,-1.0895522388059702,12.0,0.0
2026-04-07,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,103.33,0.0002,100.07,106.95,1.1104294478527603,35.0,0.0
2026-04-07,TIP,ISHARES:TIPS BD ETF,Bonds,110.76,-0.0005,104.03,118.93,1.2139673105497766,47.0,12.0
2026-04-07,TLT,ISHARES:20+ TRS BD ETF,Bonds,86.65,-0.0016,79.03,94.91,1.0839895013123342,58.0,28.0
2026-04-07,CANE,TEUCRIUM:SUGAR,Commodities,10.15,0.001,9.28,11.67,1.7471264367816066,12.0,0.0
2026-04-07,COMT,ISHARES:GSCI COMM DYN RS,Commodities,34.78,0.0023,33.21,39.29,2.872611464968151,29.0,-14.0
2026-04-07,CORN,TEUCRIUM:CORN,Commodities,18.29,0.0055,17.12,19.82,1.3076923076923108,43.0,19.0
2026-04-07,CPER,UNITED STATES COPPER IDX,Commodities,34.3,-0.002,30.92,37.32,-1.1192052980132423,54.0,0.0
2026-04-07,DBA,INVESCO DB MS AGRI,Commodities,27.28,0.0044,26.1,28.8,1.2881355932203389,-28.0,-1.0
2026-04-07,DBB,INVESCO DB MS BMTL,Commodities,23.53,-0.0008,21.81,25.32,1.0406976744186027,70.0,0.0
