Date,Ticker,Ticker_name,Category,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-04-07,EDV,VANGUARD EXT DUR T;ETF,Bonds,64.71,-0.0037,57.94,73.03,1.228951255539145,39.0,6.0
2026-04-07,HYD,VANECK:HIGH YIELD MUNI,Bonds,50.65,0.0102,47.01,53.79,-1.1592356687898089,-17.0,-79.0
2026-04-07,HYG,ISHARES:IBOXX $HY CORP,Bonds,79.7,0.0018,73.13,86.09,-1.0281690140845081,-44.0,-79.0
2026-04-07,IEF,ISHARES:7-10 TRS BD ETF,Bonds,95.01,-0.0045,88.67,103.63,1.3596214511040987,39.0,-23.0
2026-04-07,JNK,SPDR BBG HIGH YIELD BD,Bonds,95.91,0.002,87.79,103.3,-1.0987821380243559,-19.0,-54.0
2026-04-07,LQD,ISHARES:IBOXX $IG CORP,Bonds,108.95,-0.0004,97.55,122.33,1.1736842105263148,-3.0,-50.0
2026-04-07,MUB,ISHARES:NATL MUNI BOND,Bonds,106.45,0.0028,99.11,114.28,1.0667574931880102,30.0,-32.0
2026-04-07,PFF,ISHARES:PREF AND INC SEC,Bonds,30.5,0.0059,27.73,33.3,1.0108303249097463,18.0,-46.0
2026-04-07,SCHP,SCHWAB STR:US TIPS,Bonds,26.67,0.0023,24.92,38.7,6.8742857142857146,39.0,-7.0
2026-04-07,SHY,ISHARES:1-3 TRS BD ETF,Bonds,82.28,-0.0035,77.72,87.84,1.2192982456140349,12.0,-45.0
2026-04-07,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,103.33,-0.001,97.42,109.84,1.1015228426395953,35.0,38.0
2026-04-07,TIP,ISHARES:TIPS BD ETF,Bonds,110.76,0.0036,101.55,121.41,1.1563517915309427,47.0,29.0
2026-04-07,TLT,ISHARES:20+ TRS BD ETF,Bonds,86.65,-0.0005,76.95,98.53,1.2247422680412363,58.0,-4.0
2026-04-07,CANE,TEUCRIUM:SUGAR,Commodities,10.15,-0.0278,8.63,11.46,-1.1603053435114496,12.0,47.0
2026-04-07,COMT,ISHARES:GSCI COMM DYN RS,Commodities,34.78,0.0287,28.13,39.12,-1.5322580645161308,29.0,43.0
2026-04-07,CORN,TEUCRIUM:CORN,Commodities,18.29,-0.006,16.01,20.63,1.0263157894736852,43.0,71.0
2026-04-07,CPER,UNITED STATES COPPER IDX,Commodities,34.3,-0.0038,30.32,41.47,1.801507537688444,54.0,13.0
2026-04-07,DBA,INVESCO DB MS AGRI,Commodities,27.28,-0.0015,24.3,30.2,-1.0205479452054802,-28.0,7.0
2026-04-07,DBB,INVESCO DB MS BMTL,Commodities,23.53,0.0013,21.1,26.8,1.345679012345679,70.0,11.0
2026-04-07,DBC,INVESCO DB CM IDX,Commodities,29.48,0.0183,24.77,32.8,-1.4186746987951824,47.0,61.0
2026-04-07,GDX,VANECK:GOLD MINERS,Commodities,93.82,0.0223,77.74,137.28,2.702736318407961,31.0,31.0
2026-04-07,GDXJ,VANECK:JR GOLD MINERS,Commodities,121.22,0.0098,100.49,184.54,3.0545103714423534,7.0,7.0
2026-04-07,GLD,SPDR GOLD,Commodities,427.65,-0.0061,396.49,556.85,4.14634146341464,0.0,0.0
2026-04-07,PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,179.69,0.0082,150.23,254.86,2.5515953835709433,40.0,20.0
2026-04-07,SILJ,ETFMG PRIME JR SILVR MNR,Commodities,30.43,0.0239,24.35,47.35,2.782894736842106,30.0,30.0
2026-04-07,SLV,ISHARES:SILVER TRUST,Commodities,66.09,-0.0301,57.29,101.19,3.988636363636361,17.0,17.0
2026-04-07,SOYB,TEUCRIUM:SOYBEAN,Commodities,24.42,0.0008,21.8,26.95,-1.0355731225296456,55.0,13.0
2026-04-07,TAGS,TEUCRIUM:AGRICULTURAL,Commodities,24.75,-0.0241,22.21,27.19,-1.040983606557376,20.0,55.0
2026-04-07,UNG,UNITED STATES NAT GAS,Commodities,11.37,-0.0307,9.16,15.05,1.6651583710407254,31.0,27.0
2026-04-07,URA,GLBL X URANIUM ETF,Commodities,48.61,0.0037,37.39,68.31,1.7557932263814622,34.0,-10.0
2026-04-07,USO,UNITED STATES OIL FUND,Commodities,138.94,0.0919,87.55,172.0,-1.5544464609800361,29.0,46.0
2026-04-07,WEAT,TEUCRIUM:WHEAT,Commodities,22.85,-0.0305,19.62,26.5,1.1300309597523215,22.0,42.0
2026-04-07,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,219.98,0.019,171.42,277.57,1.1859555189456343,20.0,15.0
2026-04-07,CMCSA,COMCAST ,Communication Services,27.66,-0.0366,22.92,35.17,1.5843881856540092,3.0,-36.0
2026-04-07,DIS,THE WALT DISNEY COMPANY,Communication Services,96.28,-0.001,76.75,116.92,1.0568356374807988,-12.0,9.0
2026-04-07,EA,ELECTRONIC ARTS INC.,Communication Services,204.16,0.0014,175.03,239.77,1.222451081359424,-21.0,-7.0
2026-04-07,FOXA,FOX ,Communication Services,59.3,0.0154,49.2,74.0,1.4554455445544565,-5.0,-2.0
2026-04-07,GOOGL,ALPHABET INC.,Communication Services,299.99,0.0432,241.37,388.17,1.5042647560559537,35.0,20.0
2026-04-07,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,160.12,0.0499,126.94,196.06,1.0831826401446651,-5.0,-5.0
2026-04-07,META,"META PLATFORMS, INC.",Communication Services,573.02,0.0016,462.16,745.9,1.559444344217933,-30.0,-30.0
2026-04-07,MTCH,"MATCH GROUP, INC.",Communication Services,32.14,0.0466,25.93,36.52,-1.4178082191780816,-24.0,-50.0
2026-04-07,NFLX,"NETFLIX, INC.",Communication Services,98.93,0.0289,79.75,121.19,1.1605839416058386,-5.0,5.0
2026-04-07,NWSA,NEWS CORP.,Communication Services,24.47,-0.0185,20.68,28.63,1.0976253298153038,12.0,19.0
2026-04-07,OMC,OMNICOM GROUP INC.,Communication Services,75.96,0.0086,64.91,91.19,1.378280542986426,-4.0,-28.0
2026-04-07,PSKY,PARAMOUNT SKYDANCE ,Communication Services,9.85,0.092,7.35,14.46,1.8440000000000005,22.0,-22.0
2026-04-07,T,AT&T INC.,Communication Services,28.32,-0.0231,24.78,34.19,1.6581920903954799,34.0,38.0
2026-04-07,TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,197.02,-0.023,178.42,256.15,3.1790322580645105,64.0,64.0
2026-04-07,TMUS,"T-MOBILE US, INC.",Communication Services,198.61,-0.0544,173.44,258.21,2.3678982916170015,-33.0,-35.0
2026-04-07,TTD,"THE TRADE DESK, INC.",Communication Services,22.21,-0.0212,14.12,35.02,1.5834363411619283,-31.0,1.0
2026-04-07,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,196.69,-0.0041,167.89,247.3,1.7572916666666665,4.0,-2.0
2026-04-07,VZ,VERIZON COMMUNICATIONS INC.,Communication Services,49.15,-0.0209,44.13,57.59,1.6812749003984087,3.0,4.0
2026-04-07,WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,27.41,-0.0018,23.42,36.69,2.3258145363408524,47.0,-16.0
2026-04-07,ABNB,"AIRBNB, INC.",Consumer Discretionary,126.81,0.0042,103.27,149.13,-1.0546594982078858,-20.0,-25.0
2026-04-07,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,212.79,0.0217,171.87,256.6,1.0706256109481926,-14.0,0.0
2026-04-07,APTV,APTIV PLC,Consumer Discretionary,60.36,-0.1308,49.06,79.51,1.6946902654867266,-15.0,-21.0
2026-04-07,AZO,"AUTOZONE, INC.",Consumer Discretionary,3438.35,0.0179,2933.61,4232.73,1.5738399968300512,40.0,25.0
2026-04-07,BBY,"BEST BUY CO., INC.",Consumer Discretionary,64.2,0.0,50.56,75.79,-1.1768766177739427,-10.0,-16.0
2026-04-07,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,176.19,-0.9582,826.94,5043.01,,-28.0,4.0
2026-04-07,CCL,CARNIVAL CORP,Consumer Discretionary,25.97,0.0035,19.82,35.45,1.5414634146341473,-22.0,-69.0
2026-04-07,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,33.5,0.0465,25.11,40.53,-1.193456614509246,-29.0,-20.0
2026-04-07,CVNA,CARVANA CO.,Consumer Discretionary,316.85,0.0079,238.25,443.87,1.6160305343511443,-21.0,-26.0
2026-04-07,DASH,"DOORDASH, INC.",Consumer Discretionary,155.07,0.0328,121.07,209.73,1.6076470588235292,-12.0,-18.0
2026-04-07,DECK,DECKERS OUTDOOR ,Consumer Discretionary,101.64,0.0155,74.45,133.98,1.1894078705406397,-32.0,-23.0
2026-04-07,DHI,"D.R. HORTON, INC.",Consumer Discretionary,141.72,0.0328,111.19,176.66,1.1444480838519488,-14.0,-99.0
2026-04-07,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,380.77,0.0613,305.39,433.49,-1.429817905918057,26.0,14.0
2026-04-07,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,196.57,0.0027,169.17,238.12,1.5164233576642336,2.0,-62.0
2026-04-07,EBAY,EBAY INC.,Consumer Discretionary,97.71,0.0735,79.62,116.0,1.0110558319513554,-5.0,-7.0
2026-04-07,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,229.04,-0.008,179.35,291.12,1.2493459448581206,-34.0,-29.0
2026-04-07,F,FORD MOTOR COMPANY,Consumer Discretionary,11.61,0.0061,9.72,14.82,1.6984126984127,4.0,4.0
2026-04-07,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,73.43,-0.0144,64.4,92.6,2.1229235880398654,48.0,-5.0
2026-04-07,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,105.15,-0.0057,85.48,126.6,1.0904931367564812,36.0,-38.0
2026-04-07,GRMN,GARMIN LTD,Consumer Discretionary,242.79,0.0465,197.12,308.75,1.4442741405736814,2.0,-34.0
2026-04-07,HAS,"HASBRO, INC.",Consumer Discretionary,90.42,-0.034,78.94,112.23,1.8998257839721249,0.0,-54.0
2026-04-07,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,326.65,-0.0068,270.15,412.2,1.5141592920353983,12.0,12.0
2026-04-07,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,306.88,0.0092,256.64,367.44,1.2054140127388533,-7.0,-45.0
2026-04-07,LEN,LENNAR ,Consumer Discretionary,88.57,0.0199,69.04,114.48,1.32667690732207,-5.0,-16.0
2026-04-07,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,235.2,-0.0046,188.33,301.98,1.424791977810968,12.0,-41.0
2026-04-07,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,156.18,0.0201,116.82,196.44,1.022865853658536,3.0,-37.0
