Date,Ticker,Ticker_name,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-02-19,EMR,EMERSON ELECTRIC CO.,151.14,0.0284,126.07,180.78,1.18228958915038,47.0,126.0
2026-02-19,CMI,CUMMINS INC.,593.0,0.0245,475.79,718.18,1.0679976111253304,62.0,120.0
2026-02-19,CRESY,CRESUD INC.,11.29,-0.1643,10.02,16.65,4.220472440944883,69.0,118.0
2026-02-19,URNM,SPROTT URANIUM MINERS,71.29,-0.0413,51.53,97.13,1.3076923076923068,55.0,115.0
2026-02-19,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",424.89,0.0104,297.98,516.8,-1.380807311500381,56.0,110.0
2026-02-19,UHS,"UNIVERSAL HEALTH SERVICES, INC.",235.29,0.1691,181.03,264.63,-1.8493524199045666,-35.0,-96.0
2026-02-19,SRE,SEMPRA,91.73,0.0542,76.54,106.23,-1.0475862068965516,-58.0,-102.0
2026-02-19,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,141.26,0.0459,125.03,154.87,-1.192505510653929,-56.0,-106.0
2026-02-19,SBAC,SBA COMMUNICATIONS ,197.46,0.0725,163.0,214.79,-1.9884593190998292,-26.0,-110.0
2026-02-19,KHC,THE KRAFT HEINZ COMPANY,23.95,0.0088,20.24,26.28,-1.592274678111587,-79.0,-112.0
