Date,Ticker,Ticker_name,Category,st_trend,mt_trend,lt_trend,st_trend_change,mt_trend_change,lt_trend_change
2026-04-02,EDV,VANGUARD EXT DUR T;ETF,Bonds,-0.008,-0.0038,-0.0083,0.0006,0.0004,0.0059
2026-04-02,HYD,VANECK:HIGH YIELD MUNI,Bonds,-0.0028,-0.0065,-0.0065,0.0027,0.0001,0.0008
2026-04-02,HYG,ISHARES:IBOXX $HY CORP,Bonds,-0.0009,-0.0192,-0.0024,0.0017,0.0002,0.0024
2026-04-02,IEF,ISHARES:7-10 TRS BD ETF,Bonds,-0.0038,-0.004,0.0074,0.0006,-0.0,0.0027
2026-04-02,JNK,SPDR BBG HIGH YIELD BD,Bonds,0.0003,-0.021,-0.0071,0.0019,-0.0001,0.0023
2026-04-02,LQD,ISHARES:IBOXX $IG CORP,Bonds,-0.0034,-0.0135,0.0038,-0.0003,0.0,0.0024
2026-04-02,MUB,ISHARES:NATL MUNI BOND,Bonds,-0.0021,-0.0016,-0.0033,0.0016,0.0002,0.0022
2026-04-02,PFF,ISHARES:PREF AND INC SEC,Bonds,-0.0108,-0.0094,-0.0121,0.0023,-0.0006,0.0044
2026-04-02,SCHP,SCHWAB STR:US TIPS,Bonds,-0.0023,0.0073,0.3058,0.0012,0.0003,0.001
2026-04-02,SHY,ISHARES:1-3 TRS BD ETF,Bonds,-0.0007,-0.0095,0.0046,0.0004,0.0006,0.001
2026-04-02,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,-0.0014,0.0027,0.003,0.0003,-0.0001,0.0005
2026-04-02,TIP,ISHARES:TIPS BD ETF,Bonds,-0.0029,0.0109,0.0073,0.0012,0.0002,0.001
2026-04-02,TLT,ISHARES:20+ TRS BD ETF,Bonds,-0.0054,-0.0015,-0.0006,0.0006,0.0001,0.0043
2026-04-02,CANE,TEUCRIUM:SUGAR,Commodities,0.0194,0.0312,-0.0237,-0.006,-0.0,0.0072
2026-04-02,COMT,ISHARES:GSCI COMM DYN RS,Commodities,0.0183,0.0956,0.0286,-0.0007,0.0031,-0.0106
2026-04-02,CORN,TEUCRIUM:CORN,Commodities,-0.0061,0.0193,-0.0065,-0.0029,-0.0007,-0.0009
2026-04-02,CPER,UNITED STATES COPPER IDX,Commodities,-0.0212,-0.0092,0.0622,0.0042,-0.002,-0.0143
2026-04-02,DBA,INVESCO DB MS AGRI,Commodities,0.0062,0.0185,0.0161,-0.0003,0.0042,-0.0051
2026-04-02,DBB,INVESCO DB MS BMTL,Commodities,-0.0183,0.0093,0.0228,0.0007,-0.0007,-0.0171
2026-04-02,DBC,INVESCO DB CM IDX,Commodities,0.0071,0.0836,0.0179,-0.0018,0.0043,-0.0087
2026-04-02,GDX,VANECK:GOLD MINERS,Commodities,-0.0329,0.0105,0.1633,0.0085,0.0127,0.0021
2026-04-02,GDXJ,VANECK:JR GOLD MINERS,Commodities,-0.0443,0.0087,0.1705,0.0089,0.0112,0.0008
2026-04-02,GLD,SPDR GOLD,Commodities,-0.0367,0.0049,0.1438,0.002,0.003,-0.005
2026-04-02,PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,-0.0438,0.0005,0.1484,0.0053,-0.0044,-0.0038
2026-04-02,SILJ,ETFMG PRIME JR SILVR MNR,Commodities,-0.0527,0.0198,0.1648,0.0084,0.0093,-0.0082
2026-04-02,SLV,ISHARES:SILVER TRUST,Commodities,-0.0688,0.0341,0.2131,-0.001,-0.0089,-0.0149
2026-04-02,SOYB,TEUCRIUM:SOYBEAN,Commodities,-0.0111,0.0222,-0.0066,-0.0014,0.004,-0.0002
2026-04-02,TAGS,TEUCRIUM:AGRICULTURAL,Commodities,0.002,0.0253,-0.007,-0.0029,0.0022,-0.0028
2026-04-02,UNG,UNITED STATES NAT GAS,Commodities,-0.0284,0.0062,-0.0185,-0.0057,-0.0146,0.0016
2026-04-02,URA,GLBL X URANIUM ETF,Commodities,-0.0251,0.0178,0.0401,0.0025,0.0015,-0.0041
2026-04-02,USO,UNITED STATES OIL FUND,Commodities,0.0521,0.1798,0.0736,0.0067,0.0134,-0.0246
2026-04-02,WEAT,TEUCRIUM:WHEAT,Commodities,0.0041,0.0363,-0.0012,-0.0014,0.0043,-0.0059
2026-04-02,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,-0.011,-0.0125,-0.0099,0.0029,-0.0033,0.0099
2026-04-02,CMCSA,COMCAST ,Communication Services,-0.0314,-0.0061,-0.0426,-0.0011,-0.0043,0.0083
2026-04-02,DIS,THE WALT DISNEY COMPANY,Communication Services,-0.0149,-0.0545,-0.0573,0.0023,-0.0067,-0.007
2026-04-02,EA,ELECTRONIC ARTS INC.,Communication Services,0.009,-0.0663,0.0274,0.0009,-0.0344,0.0057
2026-04-02,FOXA,FOX ,Communication Services,0.0034,-0.0514,0.0683,0.0001,0.0002,0.004
2026-04-02,GOOGL,ALPHABET INC.,Communication Services,-0.0155,-0.0232,0.0848,0.0045,-0.0111,-0.0126
2026-04-02,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,-0.0302,0.0087,0.034,0.0041,-0.0025,0.0045
2026-04-02,META,"META PLATFORMS, INC.",Communication Services,-0.0511,-0.0475,0.009,0.0043,-0.0058,0.002
2026-04-02,MTCH,"MATCH GROUP, INC.",Communication Services,-0.0012,-0.0187,-0.0197,0.0028,0.0016,0.0063
2026-04-02,NFLX,"NETFLIX, INC.",Communication Services,0.0022,-0.0223,0.0284,0.0065,0.0058,0.0077
2026-04-02,NWSA,NEWS CORP.,Communication Services,0.0151,-0.0181,-0.0233,0.0011,0.0058,0.003
2026-04-02,OMC,OMNICOM GROUP INC.,Communication Services,-0.018,-0.0482,-0.0208,0.0112,-0.0012,-0.0013
2026-04-02,PSKY,PARAMOUNT SKYDANCE ,Communication Services,-0.0337,-0.0049,0.0043,0.018,0.0044,0.0115
2026-04-02,T,AT&T INC.,Communication Services,0.0121,0.0322,0.0585,0.0009,-0.0006,0.0062
2026-04-02,TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,-0.004,-0.004,0.1072,0.0033,0.0047,-0.0014
2026-04-02,TMUS,"T-MOBILE US, INC.",Communication Services,-0.0202,0.0018,0.0396,-0.0031,-0.0051,0.0004
2026-04-02,TTD,"THE TRADE DESK, INC.",Communication Services,-0.065,-0.1079,-0.1795,0.0038,-0.0125,-0.0065
2026-04-02,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,-0.0274,-0.0748,0.0284,0.006,-0.0077,0.0057
2026-04-02,VZ,VERIZON COMMUNICATIONS INC.,Communication Services,-0.0098,0.0574,0.0191,-0.0,-0.0018,0.0007
2026-04-02,WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,-0.0003,-0.0072,0.1207,0.0006,0.0009,0.0083
2026-04-02,ABNB,"AIRBNB, INC.",Consumer Discretionary,-0.019,-0.0163,-0.054,0.0025,-0.002,-0.0028
2026-04-02,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,-0.0084,-0.018,0.0059,0.0036,-0.0031,-0.0026
2026-04-02,APTV,APTIV PLC,Consumer Discretionary,-0.0456,-0.0226,-0.0358,-0.0095,-0.0236,0.0059
2026-04-02,AZO,"AUTOZONE, INC.",Consumer Discretionary,-0.0269,-0.0005,0.0206,0.0016,0.002,0.004
2026-04-02,BBY,"BEST BUY CO., INC.",Consumer Discretionary,-0.0025,-0.0213,-0.0667,0.0035,0.0036,0.0006
2026-04-02,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,-0.0152,-0.057,-0.0174,0.0032,-0.0032,0.0055
2026-04-02,CCL,CARNIVAL CORP,Consumer Discretionary,-0.0019,-0.0562,0.0276,0.0076,0.0056,0.003
2026-04-02,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,-0.0216,-0.0405,-0.0863,0.0117,-0.0024,-0.0154
2026-04-02,CVNA,CARVANA CO.,Consumer Discretionary,-0.0161,-0.084,0.1312,0.0083,0.0177,-0.0066
2026-04-02,DASH,"DOORDASH, INC.",Consumer Discretionary,-0.036,-0.1166,-0.0004,0.0137,-0.0048,-0.0019
2026-04-02,DECK,DECKERS OUTDOOR ,Consumer Discretionary,-0.0108,-0.016,-0.0453,0.006,-0.0074,-0.0044
2026-04-02,DHI,"D.R. HORTON, INC.",Consumer Discretionary,-0.0168,-0.0185,-0.0148,0.0065,0.002,-0.0047
2026-04-02,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,-0.0322,-0.0371,-0.0507,0.0085,-0.0004,-0.0128
2026-04-02,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,-0.0109,0.0061,0.0281,-0.0005,-0.001,0.0047
2026-04-02,EBAY,EBAY INC.,Consumer Discretionary,0.0013,0.0046,0.0792,0.0056,-0.0048,-0.0004
2026-04-02,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,-0.0048,-0.0457,0.0168,-0.0022,-0.0035,0.0055
2026-04-02,F,FORD MOTOR COMPANY,Consumer Discretionary,-0.0217,-0.0502,0.0003,0.0028,-0.0002,-0.0033
2026-04-02,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,-0.0038,-0.0194,0.0681,-0.0021,0.0006,-0.0072
2026-04-02,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,-0.0228,-0.0719,-0.0294,0.004,0.0035,0.0029
2026-04-02,GRMN,GARMIN LTD,Consumer Discretionary,-0.0041,0.0315,0.0642,0.0061,0.0,-0.0011
2026-04-02,HAS,"HASBRO, INC.",Consumer Discretionary,-0.0122,0.0342,0.053,-0.0078,-0.0046,-0.0189
2026-04-02,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,-0.0206,-0.0103,-0.0157,0.0027,-0.0002,0.0083
2026-04-02,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,0.0102,0.0183,0.0328,0.0036,0.0015,0.0009
2026-04-02,LEN,LENNAR ,Consumer Discretionary,-0.0436,-0.036,-0.0584,0.0023,-0.0062,-0.0031
2026-04-02,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,-0.0192,-0.0101,0.0064,0.0025,-0.0,-0.0026
2026-04-02,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,-0.0142,-0.0808,-0.0889,0.0098,-0.002,0.0114
2026-04-02,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,-0.0033,-0.0699,-0.0251,0.003,0.002,0.006
2026-04-02,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,0.0077,0.0308,0.0274,0.0035,-0.0002,0.001
2026-04-02,MCD,MCDONALD'S ,Consumer Discretionary,-0.0234,0.0187,0.0265,-0.0007,0.0047,0.0059
2026-04-02,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,-0.0022,0.0139,-0.0474,-0.0047,-0.0003,0.0019
2026-04-02,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,-0.0297,-0.045,-0.0325,0.0013,-0.0065,-0.0041
2026-04-02,NKE,"NIKE, INC.",Consumer Discretionary,-0.0655,-0.0731,-0.0918,-0.0116,-0.039,0.0016
2026-04-02,NVR,"NVR, INC.",Consumer Discretionary,0.002,-0.0165,-0.0084,0.0077,0.0051,-0.0069
2026-04-02,ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,-0.0069,-0.0063,0.0282,0.0002,0.0021,0.0032
2026-04-02,PHM,"PULTEGROUP, INC.",Consumer Discretionary,-0.0205,-0.0006,0.0086,0.0036,0.0006,-0.0024
2026-04-02,POOL,POOL ,Consumer Discretionary,-0.0147,-0.0363,-0.0689,0.0006,0.0018,0.0033
2026-04-02,RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,-0.0064,-0.0072,0.0666,0.0047,0.0039,-0.0059
2026-04-02,RL,RALPH LAUREN ,Consumer Discretionary,0.0104,-0.0346,0.0528,0.0072,0.0026,0.0044
2026-04-02,ROST,"ROSS STORES, INC.",Consumer Discretionary,0.0088,0.0464,0.0446,0.0019,0.0022,0.0128
2026-04-02,SBUX,STARBUCKS ,Consumer Discretionary,-0.0516,0.0122,-0.0229,-0.0005,-0.0017,0.0041
2026-04-02,TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,0.0045,-0.0012,0.0594,0.0023,0.0068,0.0058
2026-04-02,TPR,"TAPESTRY, INC.",Consumer Discretionary,-0.008,-0.0025,0.1465,0.0032,-0.0042,0.0124
2026-04-02,TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,-0.0339,-0.0306,-0.0019,0.0003,-0.0022,-0.0055
2026-04-02,TSLA,"TESLA, INC.",Consumer Discretionary,-0.0352,-0.0592,0.1,-0.0011,0.0086,0.0124
2026-04-02,ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,-0.0711,-0.0261,0.0236,0.0022,-0.0027,0.0198
2026-04-02,WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,0.0052,-0.0173,-0.0043,0.0078,0.004,-0.0127
2026-04-02,WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,0.0053,-0.0642,-0.0135,0.0065,0.0018,-0.0007
2026-04-02,YUM,"YUM! BRANDS, INC.",Consumer Discretionary,-0.0094,0.0134,0.005,0.0001,0.001,-0.0014
2026-04-02,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,-0.0002,0.0398,0.0136,-0.0089,-0.0004,-0.0036
2026-04-02,BF.B,BROWN-FORMAN ,Consumer Staples,0.0464,0.0047,-0.0931,0.0096,0.002,0.0015
2026-04-02,BG,BUNGE LIMITED,Consumer Staples,0.009,0.0689,0.0216,-0.0063,0.0057,-0.0053
2026-04-02,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,-0.0327,-0.0197,-0.0705,0.0158,-0.0003,-0.0059
2026-04-02,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,-0.0235,0.0336,0.0117,-0.0019,-0.0007,-0.0031
2026-04-02,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,-0.0201,0.0231,0.0119,0.0037,-0.0014,-0.001
2026-04-02,CLX,THE CLOROX COMPANY,Consumer Staples,-0.0308,0.0146,-0.0333,0.002,-0.0056,0.0046
2026-04-02,COST,COSTCO WHOLESALE ,Consumer Staples,0.0048,0.035,0.022,0.0017,0.0022,0.0021
2026-04-02,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,-0.0107,-0.0536,-0.0806,0.0175,0.005,0.0065
2026-04-02,DG,DOLLAR GENERAL ,Consumer Staples,-0.0561,0.0013,-0.0198,0.0234,-0.0065,-0.0098
2026-04-02,DLTR,"DOLLAR TREE, INC.",Consumer Staples,-0.0129,-0.0304,-0.059,0.0074,-0.0008,0.0034
2026-04-02,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,-0.0804,-0.1293,-0.0983,0.0067,-0.0025,0.0052
2026-04-02,GIS,"GENERAL MILLS, INC.",Consumer Staples,-0.0366,-0.055,-0.0633,0.0119,0.0002,0.0108
2026-04-02,HRL,HORMEL FOODS ,Consumer Staples,-0.0169,-0.0153,-0.0468,-0.0009,-0.0002,-0.0019
