Category,Buy,Neutral,Sell,Buy %,Neutral %,Sell %,R/R >= 3,R/R Neutral,R/R <= -3,MM Score Buy,MM Score Neutral,MM Score Sell
Sector & Style ETFs,0,27,0,0.0,100.0,0.0,0,27,0,6,12,9
Indices,0,5,0,0.0,100.0,0.0,0,5,0,0,4,1
Futures,0,2,1,0.0,66.7,33.3,0,2,1,0,2,1
Currencies,0,6,0,0.0,100.0,0.0,0,6,0,0,5,1
Commodities,0,19,0,0.0,100.0,0.0,0,19,0,11,7,1
Bonds,0,13,0,0.0,100.0,0.0,0,13,0,2,9,2
Yields,0,3,0,0.0,100.0,0.0,0,3,0,0,1,2
Volatility,0,2,0,0.0,100.0,0.0,2,0,0,0,2,0
Foreign,0,36,2,0.0,94.7,5.3,0,35,3,5,22,11
Communication Services,1,19,0,5.0,95.0,0.0,2,18,0,4,14,2
Consumer Discretionary,0,47,1,0.0,97.9,2.1,2,44,2,10,29,9
Consumer Staples,1,35,1,2.7,94.6,2.7,5,29,3,13,20,4
Energy,0,22,0,0.0,100.0,0.0,0,22,0,10,11,1
Financials,1,75,0,1.3,98.7,0.0,10,66,0,10,47,19
Health Care,1,58,0,1.7,98.3,0.0,10,48,1,13,36,10
Industrials,0,77,2,0.0,97.5,2.5,6,71,2,11,51,17
Information Technology,1,67,3,1.4,94.4,4.2,20,46,5,13,40,18
Materials,0,26,0,0.0,100.0,0.0,0,26,0,5,13,8
Real Estate,0,31,0,0.0,100.0,0.0,1,28,2,4,23,4
Utilities,0,31,0,0.0,100.0,0.0,0,31,0,23,7,1
MR Discretion,1,36,0,2.7,97.3,0.0,4,30,3,7,27,3
Total,6,637,10,0.9,97.5,1.5,62,569,22,147,382,124
