Ticker,Ticker_name,Category,Date,Close,day_pct_change,week_pct_change,month_pct_change,quarter_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-04-01,64.11,-0.0129,0.0022,-0.0129,-0.0129
HYD,VANECK:HIGH YIELD MUNI,Bonds,2026-04-01,50.38,0.0048,0.0121,0.0048,0.0048
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-04-01,79.37,-0.0024,0.0083,-0.0024,-0.0024
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-04-01,95.04,-0.0042,0.0047,-0.0042,-0.0042
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-04-01,95.47,-0.0026,0.0086,-0.0026,-0.0026
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-04-01,108.66,-0.003,0.0097,-0.003,-0.003
MUB,ISHARES:NATL MUNI BOND,Bonds,2026-04-01,106.31,0.0015,0.0063,0.0015,0.0015
PFF,ISHARES:PREF AND INC SEC,Bonds,2026-04-01,30.38,0.002,0.0073,0.002,0.002
SCHP,SCHWAB STR:US TIPS,Bonds,2026-04-01,26.56,-0.0019,0.0049,-0.0019,-0.0019
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-04-01,82.32,-0.003,-0.0008,-0.003,-0.003
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-04-01,103.12,-0.003,0.0,-0.003,-0.003
TIP,ISHARES:TIPS BD ETF,Bonds,2026-04-01,110.36,0.0,0.0063,0.0,0.0
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-04-01,86.26,-0.005,0.0072,-0.005,-0.005
CANE,TEUCRIUM:SUGAR,Commodities,2026-04-01,10.28,-0.0153,-0.032,-0.0153,-0.0153
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2026-04-01,33.34,-0.0139,-0.0159,-0.0139,-0.0139
CORN,TEUCRIUM:CORN,Commodities,2026-04-01,18.18,-0.012,-0.0215,-0.012,-0.012
CPER,UNITED STATES COPPER IDX,Commodities,2026-04-01,34.34,-0.0026,0.0266,-0.0026,-0.0026
DBA,INVESCO DB MS AGRI,Commodities,2026-04-01,27.1,-0.0081,-0.0026,-0.0081,-0.0081
DBB,INVESCO DB MS BMTL,Commodities,2026-04-01,23.74,0.0102,0.0367,0.0102,0.0102
DBC,INVESCO DB CM IDX,Commodities,2026-04-01,28.68,-0.0093,-0.0144,-0.0093,-0.0093
GDX,VANECK:GOLD MINERS,Commodities,2026-04-01,96.01,0.0462,0.1191,0.0462,0.0462
GDXJ,VANECK:JR GOLD MINERS,Commodities,2026-04-01,125.25,0.0434,0.1327,0.0434,0.0434
GLD,SPDR GOLD,Commodities,2026-04-01,437.82,0.0175,0.0558,0.0175,0.0175
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-04-01,178.44,0.0012,0.0534,0.0012,0.0012
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-04-01,30.81,0.0367,0.1063,0.0367,0.0367
SLV,ISHARES:SILVER TRUST,Commodities,2026-04-01,68.14,0.0,0.0741,0.0,0.0
SOYB,TEUCRIUM:SOYBEAN,Commodities,2026-04-01,24.34,-0.0025,0.0062,-0.0025,-0.0025
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2026-04-01,24.87,-0.0193,-0.015,-0.0193,-0.0193
